Bioavailability,Structures
0.0,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
0.0,C=CC[N@@+]12CC[C@]34c5ccccc5N5/C=C6/[C@@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C\CO)c7ccccc7N(/C=C(/[C@H]53)[C@@H](C[C@@H]41)/C(=C/CO)C2)[C@@H]69
0.0,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@@H]2SC1
0.0,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1
1.0,CN1C[C@@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@@H]21
1.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2c(=O)nnn2CC)CC1
1.0,CC[N+](C)(C)[C@@H](C)CC(c1ccccc1)c1ccccc1
2.0,C[C@H](Cc1ccc(O)cc1)N[C@@H](O)Cc1cc(O)cc(O)c1
3.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
5.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1
5.0,CCN(CC)[C@H](C)CN1c2ccccc2Sc2ccccc21
6.6999998,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
8.0,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1
10.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@H]21
15.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
16.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
17.2000008,CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1
19.5,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12
20.0,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21
22.5,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
