smiles,CYP2C9_class
Cc1nc(-c2c(C)oc3c4c(ccc3c2=O)OCCO4)cs1,0
COCCOc1ccc2cc1OCC(=O)N(C)CCCN(C)Cc1c[nH]c3ncnc(c13)N2,0
O=C(NC(CCCn1cc(-c2ccc(I)cc2)nn1)C(=O)O)OCC1c2ccccc2-c2ccccc21,0
CC1(C)CN(C(=O)Cn2cc(NC(=O)c3cnccn3)cn2)CCO1,0
C[C@@H](O)C[C@@H](CNC(=O)c1ncccc1C(F)(F)F)c1ccccc1,0
CCCCC(=O)Nc1nnc(SCc2ccc(Cl)cc2)s1,0
Nc1ncc(-c2cc(C3C4CN(C5COC5)CC43)n(C3CCCC3)n2)cc1OC(F)F,0
Fc1ccc(-n2cc(-c3csc(-c4cnccn4)n3)nn2)cc1,0
CC(C)(C)c1cnc(CN2CCC(NC(N)=O)CC2)o1,0
Cc1ccc([C@H](C)Nc2ncnc3c2CCCC3)o1,0
C[C@H](NC(=O)NCCCOCc1ccco1)c1ccc(-n2cncn2)cc1,0
CCN[C@H](CC)c1ccccc1OCc1ccc(C)cc1,0
Cc1cccc(CN(C)Cc2cc(N)ccc2O)n1,0
Cc1ccc(-c2[nH]ncc2CN)s1,0
O[C@@H](c1ccc(Br)o1)[C@@H]1CCCc2cccnc21,0
Cc1nc(CNc2nc(C3CC3)nc(Cl)c2C)cs1,0
CCOCCCNC(=O)c1ccccc1NC(=O)CCc1ccccc1,0
Cc1nn(Cc2ccccc2)c(C)c1C(=O)NCc1ccccc1,0
Cc1ncc([C@H](C)NCCc2nc(C(C)C)no2)s1,0
c1ccc(-c2cccc(CN3CCC[C@@H](c4nnc5n4CCC5)C3)c2)nc1,0
Brc1ccc(CNc2ncnc3c2CCCCC3)cc1,0
CCC[C@@H]1C(=O)NCCN1[C@@H]1CCC[C@H](C)C1,0
CC(=O)c1ccc(OC[C@H](O)CN2CCCCC2)cc1,0
CCCCNc1ccc(N)c(OC)n1,0
CCCOc1ccc(NC(=O)c2cccc(OC)c2OC(F)F)c(C)c1,0
CCC(N)(CC)C(=O)NC[C@H](O)C1CC1,0
COCc1nc(C)cc(NCc2cccc(-n3cccn3)c2)n1,0
COCCc1nc(C)c([C@H](C)OC(=O)C2[C@H]3CCCC[C@@H]23)s1,0
CCN(CC)CCC(=O)C1CCC(C)CC1,0
CC1(C)CC(=O)C2=C(C1)N(c1ccc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)cc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(Cl)cc1Cl,0
COc1cccc(CCNC(=O)CN(C)[C@H]2CCc3ccccc32)c1,0
N#Cc1ccc2ncc(CN3CC[C@@H](OCCCc4ccccc4)C3)n2c1,0
Cc1cccc(OCCn2cnc3ccccc32)c1C,0
C[C@H]1CCN(Cc2ccc(F)cc2C#N)[C@H](C)C1,0
CC[C@@H](C(=O)O)N1CC2(CCCCCC2)C1,0
CCC(=O)NCCCc1cccc2nc(C)oc12,0
Cc1nnc([C@H](C)NC(=O)c2cccc(CCC(C)(C)O)c2)o1,0
CCN(CC)S(=O)(=O)c1cc(C(=O)NC2CCCCCC2)ccc1C,0
CC(=O)NCC1(c2cccc(F)n2)CC2CCC(C1)N2C(c1ccccc1Cl)c1ccccc1Cl,0
N[C@@H]1C[C@@H]1NC(=O)N1CCCC1,0
COc1cccc2c1CCC1CN(CCn3c(=O)[nH]c4c(sc5cccnc54)c3=O)CC21,0
CCCn1c(C[C@]2(CCC)CCCN2)nc2ccccc21,0
Cc1ccc(C(=O)CSc2nc3nc(O)[nH]c(=O)c3s2)cc1,0
COc1ccc(-c2ccc(C[N+](C)(C)CC3=CCC4CC3C4(C)C)cc2)cc1OC,0
CCOc1ccccc1Oc1ncnc2c1cnn2C,0
CN(C)[C@@H](CNC(=O)COc1ccccc1F)c1ccccc1Cl,0
CCC(CC)(N[C@@H](C)C#N)C(=O)O,0
Cc1ccccc1[C@@H](CC(=O)O[C@@H](C)COc1ccccc1)NC(N)=O,0
C=CCNC(=O)CSc1cc(C)c(Br)cc1C,0
COC[C@@H](N[C@@H](C)c1ccc(OCCN(C)C)cc1)C1CC1,0
O=C(O)Cn1c2c(c3ccccc31)CC(NS(=O)(=O)c1ccc(F)cc1)CC2,0
CN[C@@]1(C#N)CCC[C@H]1CCN(C)CCN(C)C,0
CCC[C@]1(C)CCCN(C(=O)NCC)C1,0
COc1ccc(CN(C)C[C@H]2CCCO2)cc1OC(F)F,0
Cc1ccc([C@H](C)NC(=O)N2CCC[C@H](c3nc(C)no3)C2)cc1,0
C[C@H](C(=O)Nc1ncccn1)N1CCc2c(F)ccc(F)c2C1,0
CC[C@H](C)N(CC(=O)N1CCc2sccc2[C@@H]1COc1cccc(OC)c1)C(=O)c1ccc(C)cc1,0
COc1ccc([C@H](c2nnnn2C[C@@H]2CCCO2)N2CCN(C3CCCC3)CC2)cc1OC,0
CC1CN(CC2CCOCC2)CCN1C(=O)N1Cc2c(NC(=O)c3cn(C4CCC4)cn3)n[nH]c2C1(C)C,0
COc1ccc(C)cc1NS(=O)(=O)c1ccc(NC(=O)c2ccccc2SC)cc1,0
O=C(c1ccnc(F)c1)N1CC=C(c2ccc(Cl)cc2)CC1,0
CC(C)CCN(C)C(=O)N[C@@H]1CCN(CCCc2ccccc2)C1=O,0
Cc1noc(C)c1C[C@@H](C)NC(=O)N(C)[C@H](C)c1cccnc1,0
C[C@@H](N[C@H]1C[C@@H]2CCCc3cccc1c32)c1ccc(N2CCC(O)CC2)cc1,0
Cc1ccc(F)c(N2CCN(C(=O)c3ccc(Br)cc3)[C@H](C)C2=O)c1,0
CCc1ccc2c(CSc3nnc4sc5ccccc5n34)cc(=O)oc2c1,0
Cc1c(C(=O)N2CCN(C)CC2)cc(-c2ccc3ccccc3c2)n1-c1ccc(S(N)(=O)=O)cc1,0
CC[C@H](C)Cc1c(C)sc2nc(-c3ncccn3)[nH]c(=O)c12,0
COc1ccc(CN(C(=O)c2ccccc2)c2ccc(CC(=O)NCc3ccc(F)cc3)cc2)cc1,0
CCOC(=O)CC1(C(F)(F)F)OCCO1,0
COc1cc(C)c(N[C@@H](C)C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1OC,0
O[C@H](c1ccccc1)c1nc2ccccc2n1Cc1ccc(Cl)c(Cl)c1,0
COC(=O)N1CCC(N[C@H](c2ccccc2C)C2CC2)CC1,0
Cc1n[nH]c2ncc(NC(=O)N3CCC[C@@H]3c3ccc4c(c3)OCO4)cc12,0
c1nc(CC2CCN(C3CCCCC3)CC2)c[nH]1,0
Cc1ccccc1-c1nnc(CNC(C)(C)c2nccs2)o1,0
Cc1nc(CN2CCN(C(=O)[C@H](C)N3CCc4ccccc4C3)CC2)no1,0
CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCN(CCCCCCCCOc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)nc3)cc21,0
CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)c2cc(C)ccc2OC(F)F)c1C,0
COc1ccc(Cl)c2c(Br)c(Cl)c(C)nc12,0
Cc1cc(C)c(NC(=O)CNc2cccc(C)c2C(=O)N2CCCC2)c(C)c1,0
Cn1ncnc1CNC(=O)N1CCCC[C@@H]1CCc1ccccc1,0
CN(C)C1CCN(c2ccc(-c3cn(C)c4cc(-c5ccc(C(F)(F)F)cc5)ccc4c3=O)cn2)C1,0
C[C@H](c1ccc(F)cc1)N(C)C(=O)CN1CCCC[C@@H]1CO,0
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3ccc(N)c(Cl)c3)cc2[N+](=O)[O-])CC1,0
COc1ccc(C)cc1NC(=O)c1ccc2[nH]c3c(c2c1)C[C@@H](C)CC3,0
COC(=O)c1c(NC(=O)Cc2ccc(Cl)cc2)sc(C(=O)Nc2cc(OC)ccc2OC)c1C,0
CC[C@@H](c1cccs1)N1CCC(=O)N2CCC[C@@H]2C1=O,0
Cc1ccc(NCC(=O)Nc2cccc(CCC(=O)N(C)C)c2)cc1Cl,0
