smiles,CYP3A4_class
COCCCNC(=O)c1cccc2c1N[C@H](c1cccc(C)c1)[C@H]1CC=C[C@H]21,0
COCC(=O)N1CCN(c2nnnn2-c2ccc(C)cc2)CC1,0
CCN[C@H]1[C@H](CN(C)CCC(C)C)CCC1(C)C,0
COCCN1C(=O)c2[nH]nc(-c3cc(C)cc(C)c3O)c2[C@@H]1c1ccc(OC)cc1,0
COc1ccc([C@@H]2CCCN2C(=O)NCCCCn2cnnc2)cc1OC,0
O=C(O)Cn1cccc1C(=O)N[C@@H]1CCCC[C@@H]1O,0
CCCCOc1ccc(-c2csc(NC(=O)[C@@H](C)[C@H]3Sc4ccccc4NC3=O)n2)cc1,0
CC[C@@](C)(CCO)NC(=O)Nc1ccccc1-n1nc(C)nc1C,0
Oc1cccc(O)c1OCCNCCOc1ccccc1OCc1ccccc1,0
NS(=O)(=O)NCc1ccccc1,0
C[C@H](Sc1nnc(N(C)C)s1)C(=O)c1ccc(F)cc1,0
COC(C)(C)CNC(=O)N1C[C@@H](CCN2CCCC2=O)c2ccccc21,0
Cc1c(C(=O)NCc2ccc(Cl)cc2)nn(-c2ccc(F)cc2F)c1-n1cccc1,0
Nc1nc(-n2cccn2)nc(N2CCCCC2)c1Br,0
Cc1ccc(NC(=O)[C@H](C)Nc2ccc(N3CCCC3=O)cc2)cc1S(=O)(=O)N1CCOCC1,0
CCNS(=O)(=O)c1ccc(CNC(=O)NC2(C)Cc3ccccc3C2)cc1,0
CS(=O)(=O)c1cccc(F)c1Cn1cc(-c2ccccc2Cl)c(=O)n(CC(NCCCC(=O)O)c2ccccc2)c1=O,0
CCCC(Oc1ccc(-n2cc3c(C)cccc3n2)cc1)c1ccc(C(=O)NCCC(=O)O)cc1,0
CCc1nn(C)cc1CN[C@@H](c1ccc(F)cc1)C1CCCC1,0
CCNc1nccc2[nH]c3ccccc3c12,0
CCN1CCC(CC(=O)N[C@H](C)c2nncn2CC)CC1,0
CCN(C)CC(=O)N1CCC(O)CC1,0
N[C@H]1CCC[C@H](CCSc2ccccc2)C1,0
O=C(c1csc2ccccc12)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,0
Cc1c(N2CCCCC2)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,0
CCO[C@@H]1C[C@@H](N[C@@H](C)c2c(C)noc2C)C12CCC2,0
COc1ccc(C)c(OC(CCN2CCC(n3c(=O)n(C[S+](C)[O-])c4ccccc43)CC2)C(C)C)c1,0
N#Cc1cc(C(F)(F)F)ccc1-c1ccc(-c2cnc(N)cn2)c(F)c1,0
CC1(C)C[C@H]1C(=O)Nc1cncc2ccccc12,0
COc1cccc(N2C[C@H](C(=O)Nc3ccc(OC)nc3)CC2=O)c1,0
COC(=O)Nc1ccc(OCC(=O)N2C[C@@H](C)C[C@H](C)C2)cc1,0
Nc1nc(O)c2ncn(Cc3cccc(CSCP(=O)(O)O)c3)c2n1,0
COc1cc(CSc2nnnn2C(C)(C)C)ccc1SC,0
C#CCN1CCC(C(=O)N[C@H](C)c2ccc(-c3ccncc3)cc2)CC1,0
COCCNCC(=O)Nc1cccc(F)c1C,0
CCCC[C@](C)(NC)C(N)=O,0
C[C@@H](O)[C@@H]1CCCN([C@@H](C)C(=O)Nc2cccc(Cl)c2)C1,0
Cc1ccc(-c2nnn(CC(=O)N(CC(=O)NC[C@H]3CCCO3)C3CCN(Cc4ccccc4)CC3)n2)o1,0
COc1ccc(C)c(NC(=O)c2cc(-c3cccc(Cl)c3)[nH]n2)c1,0
O=C(Cc1ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)cc1)NC1CC1,0
