Drug,Y
CC(=O)Nc1ccccc1,1
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=CC(=O)O)c(C)c1C,1
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,1
CCNC[C@H](C)c1cccc(C(F)(F)F)c1,1
CC(C)NC[C@@H](O)c1cc(O)cc(O)c1,1
CCN(CC)CC(=O)Nc1c(C)cccc1C,1
Cc1cccc(C)c1OC[C@H](C)N,1
OC[C@H](O)COc1ccc(Cl)cc1,1
C=CCOc1ccccc1OC[C@@H](O)CNC(C)C,1
CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,1
COc1cc(C)c([S+](C)[O-])cc1OC,1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,1
C[C@@H](NC(C)(C)C)C(=O)c1ccc(Cl)cc1,1
CC(=O)N(C[C@H](O)CO)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1
O=C(N[C@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,1
CC(=O)Nc1ccc(O)cc1,1
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,1
N[C@H](CCC(=O)O)c1ccc(Cl)cc1,1
CC(C)N[C@@H](O)c1ccc(O)c(O)c1,1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1
CCN(CC)[C@H](C)C(=O)c1ccccc1,1
CC(C)(C)NC[C@@H](O)c1ccc(O)c(C(=O)O)c1,1
CC(=O)Oc1ccccc1C(=O)O,1
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,1
COP(=O)(C[C@H](c1ccc(Cl)cc1)P(=O)(OC)OC)OC,1
O=P(O)(O)C(Cc1ccc(Cl)cc1)P(=O)(O)O,0
CC[N+](C)(C)Cc1ccccc1Br,0
Nc1ccc(O)c(C(=O)O)c1,1
COc1cccc(C[C@H](C)N)c1,1
C[C@H](N)[C@@H](O)c1ccccc1,1
CC(=O)Nc1ccc([C@H](O)CNC(C)C)cc1,1
CC[N+](C)(C)c1cccc(O)c1,0
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0
CC(C)NC[C@H](O)COc1cccc(NS(C)(=O)=O)c1,1
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0
N=C(N)N/N=C/c1c(Cl)cccc1Cl,1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,1
CNNCc1ccc(C(=O)NC(C)C)cc1,1
CC(C)c1cccc(C(C)C)c1O,1
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1
CN[C@@H](C)[C@@H](O)c1ccccc1,1
C=CCc1ccccc1OC[C@@H](O)CNC(C)C,1
C#CCN(C)[C@@H](C)Cc1ccccc1,1
NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,1
C[C@H](N)Cc1ccccc1,1
Cc1cccc(C)c1NC(=O)NCCCNC(C)C,1
N[C@H](CO)C(=O)NNCc1ccc(O)c(O)c1O,1
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,1
Cc1cccc(C)c1NC(=O)[C@@H](C)N,1
COc1ccccc1OC[C@H](O)COC(N)=O,1
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,1
CCC(=O)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,1
NC(=O)OCC(COC(N)=O)c1ccccc1,1
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,1
CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1,1
O=[P@@]1(N(CCCl)CCCl)OCCCN1CCCl,1
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,1
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,1
COc1ccccc1OCCNC[C@@H](O)OCc1cccc2[nH]c3ccccc3c12,1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1
O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
CCC[C@@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,1
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
O=c1[nH]c2ccccc2n1CCCN1CCC(Nn2c(=O)[nH]c3cc(Cl)ccc32)CC1,1
Nc1c2c(nc3ccccc13)CCCC2,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,1
O=C(O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,1
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1
CN(C)CCC[C@@H]1c2ccccc2COc2ccccc21,1
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
CCO[C@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,1
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,1
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1,1
NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,1
CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@@H]3[C@H](O)[C@@H]12,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,1
COCC1=C(C(=O)O[C@H](C)OC(=O)OC(C)C)N2C(=O)[C@H](NC(=O)C(=NOC)c3csc(N)n3)[C@@H]2SC1,1
C[C@@H]1[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0
COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CC[N@@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@+]2(C)CCc3cc(OC)c(OC)cc3[C@@H]2Cc2ccc(OC)c(OC)c2)cc1OC,0
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0
CC[C@]1(CCC(C)C)C(=O)N=C(O)N=C1O,1
CCOc1ccccc1OC[C@H]1COCCN1,1
CC(C)n1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,1
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,1
O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,0
CCCC(=O)[C@]1(c2ccccc2)CCC=C[C@@H]1N(C)C,1
O=c1[nH]c2ccccc2n1C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,0
C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,1
C=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)C(=NOC)c1csc(N)n1,0
COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccccc1,1
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C,1
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,1
O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,1
Fc1ccc([C@H]2CCNC[C@@H]2COc2ccc3c(c2)OCO3)cc1,1
CCOC(=O)C1=C[C@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,1
CC(=CCO)/C=C/C=C(C)\C=C\C1=C(C)CCCC1(C)C,1
CC(=CC(=O)O)/C=C/C=C(C)\C=C/C1=C(C)CCCC1(C)C,1
O=C(O)[C@@H]1C(=CCO)O[C@H]2CC(=O)N12,1
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,1
CCN1CC[C@H](CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1,1
CC(C)NC[C@@H]1CCc2cc(CO)c([N+](=O)[O-])cc2N1,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,1
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1
CC(C)[C@H]1CC[C@@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,1
C[C@H]1C[C@H]2[C@H]([C@H](O)C[C@]3(C)[C@@H]2CC[C@@]3(O)C(=O)CO)[C@]2(C)C=CC(=O)C=C12,1
