Smiles,PPB
C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,58.0000000
NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,99.0999985
HC(O)(C(NC(=O)OC(C)(C)C)C1=CC=CC=C1)C(=O)OC1(H)CC2(O)C(H)(OC(=O)C3=CC=CC=C3)C3(H)C4(COC4(H)CC(H)(OC)C3(C)C(=O)C(H)(OC)C(=C1C)C2(C)C)OC(C)=O,82.0000000
CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12,50.9500008
CN1S(=O)(=O)C2=C(SC(Cl)=C2)C(=O)\C1=C(/O)NC1=NC=CC=C1,99.0000000
CC(OC1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)C1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,95.0000000
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,40.0000000
CCCCN(CCCC)CC(O)C1=C2C(=CC(Cl)=C1)\C(=C/C1=CC=C(Cl)C=C1)C1=C2C=CC(Cl)=C1,99.5000000
CC(C)CC(NC(=O)C(CC1=CC=C(NC(N)=O)C=C1)NC(=O)C(CC1=CC=C(NC(=O)C2CC(=O)NC(=O)N2)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CC=CN=C1)NC(=O)C(CC1=CC=C(Cl)C=C1)NC(=O)C(CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,90.0000000
CCCCCCOC(=O)N=C(N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1,34.5000000
HC12CCC(C)C(O)(O1)C(=O)C(=O)N1CCCCC1C(=O)OC(H)(CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)\C=C\C=C\C=C(C)\C(C2)OC)C(C)CC1CCC(OC(=O)C(C)(CO)CO)C(C1)OC,87.0000000
CC1CN(CC(CC2=CC=CC=C2)C(=O)NCC(O)=O)CCC1(C)C1=CC(O)=CC=C1,85.0000000
CC1=NOC(NS(=O)(=O)C2=C(SC=C2)C(=O)CC2=C(C)C=C3OCOC3=C2)=C1Cl,99.0000000
CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Cl)C=C1,99.5000000
CC1(C)CCC(C)(C)C2=C1C=CC(NC(=O)C1=CC=C(C=C1)C(O)=O)=C2,99.0000000
