Entry,INN,ID,Commercial,Brand,IUPAC,Structure,Molecular weight,Protein,Disease,Smile,Solubility (DB),g/L (HMDB),LogP (HSDB),pKa,Absorption,Protein binding,Major (minor) cytochrome,Principal metabolite,t1/2,Clearance (L/h),Toxicity,Mutagenicity (Ames),Carginogenic,Acute toxicity,FDA
1,Imatinib,STI571,Glivec,Novartis,4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide ,,493.6,"PDGFR, c-KIT, BCR-ABL fusion protein","chronic myelogenous leukemia (Ph+CML), GIST",CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,very solube (pH<5.5),1.46E-02,3,"8,07, 3,73, 2,56, 1,52",Absolute bioavailability (98%),95%,"3A4 & 3A5 (1A2, 2D6, 2C9, 2C19, 1A1 & 1B1)",N-desmethylimatinib,18,11.8,N.A.,YES,16.70%,83.30%,Approved 05/2001
2,Gefitinib,ZD1839,Iressa,Astra Zeneca,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholinopropoxy)quinazolin-4-amine,,446.91,EGFR,Non-small cell lung cancer (NSCLC),COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Sparingly soluble (pH<4),2.70E-02,3.2,"5,4 & 7,2",Slowly absorption (60%),90%,"3A4, 3A5, 2D6 & 1A1","4-Defluoro-4-hydroxy Gefitinib, O-Desmethyl Gefitinib",48,35.7,Reproductive toxicity,N.A.,58%,100%,Approved 05/2003
3,Erlotinib,OSI-1774,Tarceva,OSI Pharmaceuticals,"N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine",,393.44,EGFR,"NSCLC, metastatic pancreatic cancer",COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,very slightly soluble (pH<2),8.91E-03,2.7,5.18,Slowly absorption (60-100%),93%,"3A4 & 3A5 (1A1, 1A2, 2C8 & 2D6)","O-demethylation, oxidation of the acetylene moiety to COOH, hydroxylation of the aromatic ring",36.2,5.3,Aqueous toxicity,N.A.,75%,25%,Approved 11/2004
4,Sorafenib,Bay43-9006,Nexavar,Bayer Healthcare,4-(4-(3-(4-chloro-3-(trifluoromethyl)phenyl)ureido)phenoxy)-N-methylpicolinamide,,464.09,"PDGFR, VEGFR-2, BRAF, c-KIT","liver & reN.A.l cancer, HHC",CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,Insoluble,1.71E-03,3.8,N.A.,Slow absorption (38-49%),99.50%,3A4,Pyridine N-oxide,25-48,3,Reproductive & aqueous toxicity,N.A.,50%,0%,Approved 12/2005
5,Sunitinib,SU11248,Sutent,Pfizer,"(Z)-N-(2-(diethylamino)ethyl)-5-((5-fluoro-2-oxoindolin-3-ylidene)methyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide",,398.48,"PDGFR, VEGFR2, c-KIT, FLT-3","GIST, reN.A.l cancer, metastatic pancreatic cancer",CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,"Soluble (1,2 <pH<6,8)",3.08E-02,5.2,8.95,Good bioavailability (50%),90-95%,3A4,N-desethyl derivative,40-60,34-62,Hepatotoxicity,N.A.,N.A.,N.A.,Approved 01/2006
6,Dasatinib,BMS-354825,Sprycel,Brstol-Meyers Squibb,N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)piperazin-1-yl)-2-methylpyrimidin-4-yl)amino)thiazole-5-carboxamide,,488.01,"PDGFR, c-KIT, BCR-ABL fusion protein & SRC-family proteins",lymphoblastic or chronic myeloid leukemia (CML),CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,Very soluble,1.28E-02,1.8,N.A.,Good bioavailability (81%),96%,3A4,N.A.,3-5,N.A.,Reproductive & aqueous toxicity,N.A.,93%,99%,Approved 06/2006
7,Lapatinib,GW572016,Tykerb,GlazoSmith Kline,N-(3-chloro-4-((3-fluorobenzyl)oxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)furan-2-yl)quinazolin-4-amine,,581.06,"EGFR, HER2","HER-negative breast cancer, lung cancer",CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,Soluble,2.23E-02,5.4,"3,8 & 7,20",Incomplete and variable,>99%,3A4 & 3A5 (2C19 & 2C8),Reactive quinoneimine,14,N.A.,Hepatotoxicity,NO,NO,NO,Approved 03/2007
8,Nilotinib,AMN107,TasigN.A.,Novartis,4-methyl-N-(3-(4-methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)phenyl)-3-((4-(pyridin-3-yl)pyrimidin-2-yl)amino)benzamide,,529.52,"PDGFR, c-KIT, BCR-ABL fusion protein",Chronic myeloid leukemia (CML),CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F,pH dependant (<4),2.03E-03,5.01,"2,1 & 5,4",Increased with food,98%,3A4,N.A.,17,29.1,Reproductive toxicity,NO,NO,NO,Approved 10/2007
9,Vandetanib,ZD-6474,Caprelsa,Astra Zeneca,N-(4-bromo-2-fluorophenyl)-6-methoxy-7-((1-methylpiperidin-4-yl)methoxy)quinazolin-4-amine,,475.36,"EGFR, FGFR, VEGFR2, RET",Medullary thyroid cancer (MTC),COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,Insoluble,8.00E-03,5.0,"4,46 & 13,8",Good (50-90%),90%,3A4 (FMO1/3),N-oxide & N-desmethyl,19,N.A.,Hepatotoxicity,NO,N.A.,83%,Approved 04/2011
10,Axitinib,AG-013736,Inlyta,Pfizer Inc.,(E)-N-methyl-2-((3-(2-(pyridin-2-yl)vinyl)-1H-indazol-6-yl)thio)benzamide,,486.47,"PDGFR, VEGFR, c-KIT, FLT-3",Kidney & reN.A.l cell carcinoma (RCC),CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,Insoluble,2.00E-04,N.A.,4.8,High bioavailability,99%,3A4 & 3A5 (1A2 & 2C19),N.A.,"2,5-6,1",38,NO,YES,N.A.,54%,Approved 01/2012
