SMILES,pAC50,source
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,3.8312389898347954,veith
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.931238759019225,veith
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.081239412948973,veith
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,4.7812382168028345,veith
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,4.28123853814577,veith
BrC(c1cccc2ccccc12)c1cccc2ccccc12,4.784219133178269,ncgc;veith
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,4.425659481172465,tox21
BrCC(Br)C1CCC(Br)C(Br)C1,4.140304247684445,tox21
BrCC(Br)c1ccccc1,3.7885301040785704,tox21
BrCCCCCCBr,3.7885301040785704,tox21
BrCc1cccc(Oc2ccccc2)c1,3.738530418642034,tox21
Brc1c2ccccc2cc2ccccc12,4.084296515836798,tox21
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,4.399413358055546,tox21
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,4.005002850178369,tox21
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,4.431238405874674,veith
Brc1cc2ccccc2c2ccccc12,3.8849991931134227,tox21
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,4.28123853814577,veith
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,3.731239014571102,veith
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,3.7474079500037276,challenge
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,4.28123853814577,veith
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,4.431238405874674,veith
