SMILES,pAC50,source
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,4.842240508595863,veith
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,4.634418806116886,tox21
Br.CC(NC1=NCCCCC1)c1ccccc1,5.242240761051421,veith
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,4.942241381558047,veith
Br.CCCCCCN1Cc2ccccc2C1,4.942241381558047,veith
Br.CCCCN1C2=NCCCN2c2ccccc21,4.792241107578132,veith
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,5.642240772861618,veith
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.3922393223313625,veith
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,4.9969534480296955,ncgc;veith
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,3.8232520113632606,tox21
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,3.928033371107948,tox21
Br.COCCCN1Cc2ccccc2C1=N,4.3922393223313625,veith
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,4.9344127982132715,tox21
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,4.89695369244143,ncgc;veith
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.792241107578132,veith
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,7.492240905132714,veith
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,5.992240583789779,veith
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,5.592241033466911,veith
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,5.3922393223313625,veith
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,5.192241409015731,veith
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,5.984437495342514,tox21
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,5.1016670343933495,ncgc
BrC(Br)Br,3.8228978265356,tox21
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,4.184322332759697,tox21
BrCC(Br)C1CCC(Br)C(Br)C1,3.7750265563414507,tox21
BrCC(Br)c1ccccc1,4.723251101656649,tox21
BrCCBr,3.934714378828561,tox21
BrCCOc1ccccc1,3.8218370018744876,tox21
BrCCc1ccccc1,3.966913844191221,tox21
BrCc1ccc(Br)cc1,3.9732520511108227,tox21
BrCc1cccc(Oc2ccccc2)c1,4.023251954306619,tox21
BrCc1ccccc1,3.8527083555876853,tox21
Brc1c(NC2=NCCN2)ccc2nccnc12,3.993043469948371,ncgc;tox21
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,4.342240150210577,veith
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,7.081575689992346,challenge
Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,5.622023914992345,challenge
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,4.342240150210577,veith
Brc1ccc(Cc2nc(N3CCNCC3)no2)c2ccccc12,2.7638819129923453,challenge
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1.Cl,4.092240288156335,veith
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,4.173252039198229,tox21
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,4.342240150210577,veith
Brc1cccc2c1CCC2NCc1noc2c1COCC2,4.806376462992346,challenge
Brc1ccccc1-c1ccccc1,3.8217705943761926,tox21
C#CCC(Cc1ccccc1)Nc1ccc2nccnc2n1,4.754357754992346,challenge
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,3.9760935232052477,tox21
C#CCCCC(=O)Nc1ccccc1,4.396953559925658,ncgc;veith
C#CCCCC(=S)Nc1ccccc1,3.9016695663778864,ncgc
C#CCCCCCCCCCCCCCCCC(=O)O,4.201669884204322,ncgc
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,5.296954647425311,ncgc;veith
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12,4.901666293693565,ncgc
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,4.701667552503337,ncgc
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,4.89695369244143,ncgc;veith
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,4.901666293693565,ncgc
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(-c3ccccc3)c(=O)n12,4.801666983179052,ncgc
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(C)c(=O)n12,5.001666312269612,ncgc
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,5.5469552201774315,ncgc;veith
C#CCN(C)Cc1ccccc1.Cl,4.023251954306619,tox21
C#CCN(C)[C@@H](C)Cc1ccccc1,4.271954002140141,ncgc;veith
C#CCN(C)[C@H](C)Cc1ccccc1.Cl,4.378835300468988,tox21
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,4.073252490208837,tox21
C#CCN1C(C)=C(C(=O)CCO)[C@@H](c2cccc(-n3oo3)c2)C(C(=O)OC)=C1C,5.69694058165962,ncgc;veith
C#CCN1C(C)=C(C(=O)OC)[C@@H](c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,4.301670255124509,ncgc
C#CCNS(=O)(=O)c1cccc(-c2nc(-c3ccc4[nH]ccc4c3)no2)c1,5.107327214992345,challenge
C#CCN[C@@H](C)Cc1ccccc1,4.096954525750631,ncgc;veith
C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,4.3344172940778565,tox21
C#CCOC(=O)C1=CCCN(C)C1,3.9969548213840747,ncgc;veith
C#CCOC(=O)C1=CCCN(C)C1.Cc1ccc(S(=O)(=O)O)cc1,4.2969560175302135,ncgc;veith
C#CCOC(=O)NC(/C=C/CCCC)c1ccccc1,4.201669884204322,ncgc
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1.Cl,5.03442072867151,tox21
