SMILES,pAC50,source
Br.Br.N=C(N)SCCN,4.6007310617021595,ncgc
Br.Br.c1cc(Cc2cnc[nH]2)ccn1,4.5007310431261125,ncgc
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,4.550980230558093,veith
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,3.9009806289359634,veith
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,3.500734315810433,ncgc
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,3.950978999210623,veith
Br.CCCCN1C=CN(C)C1,3.832399492416686,tox21
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.300979991242114,veith
Br.COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3,4.0007325469525,ncgc
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.200979882466957,veith
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,4.0009781713314085,veith
Br.Nc1nc(-c2ccccc2)cs1.O,3.800734633636869,ncgc
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,4.4007317326115984,ncgc
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,3.9007350045570557,ncgc
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,4.551787548114312,tox21
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,4.650731422764029,ncgc
Brc1c(NC2=NCCN2)ccc2nccnc12,4.700738478363405,ncgc
Brc1c2ccccc2cc2ccccc12,3.5926797303074474,tox21
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,4.650980205821786,veith
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,3.6714539399993558,challenge
Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,5.21954163642066,pharmabench
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,4.200979882466957,veith
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,3.700856324966927,ncgc;veith
Brc1ccc2[nH]c(-c3noc([C@@H]4C[C@H]5CC[C@@H]4O5)n3)cc2c1,5.158521549999355,challenge
Brc1ccccc1C1CCCN1c1ncnc2[nH]ncc12,4.835003929999355,challenge
Brc1cnc(C2CCCN2c2ncnc3[nH]ncc23)nc1,3.6699634449993557,challenge
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.512542629790094,tox21
C#CC(O)C(CC)CCCC,3.1867880118368572,tox21
C#CCC(C(=O)OC)(C(=O)OC)C(C[N+](=O)[O-])c1ccccc1,4.6007310617021595,ncgc
