SMILES,cyp1a2,cyp1a2_challenge,cyp2c9,cyp2c9_challenge,cyp2d6,cyp2d6_challenge,cyp3a4,cyp3a4_challenge
Br.Br.N=C(N)SCCN,,False,,False,,False,4.6007310617021595,False
Br.Br.c1cc(Cc2cnc[nH]2)ccn1,,False,,False,,False,4.5007310431261125,False
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,4.657421660028485,False,,False,4.842240508595863,False,4.550980230558093,False
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,4.50742132531197,False,3.8312389898347954,False,,False,3.900980628935963,False
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,False,,False,4.634418806116886,False,3.500734315810433,False
Br.CC(NC1=NCCCCC1)c1ccccc1,,False,,False,5.242240761051421,False,,False
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,4.807421934008399,False,,False,,False,3.950978999210623,False
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,4.207420702660929,False,,False,4.942241381558047,False,,False
Br.CCCCCCN1Cc2ccccc2C1,4.257419874781714,False,,False,4.942241381558047,False,,False
Br.CCCCN1C2=NCCCN2c2ccccc21,3.957420840606687,False,,False,4.792241107578132,False,,False
Br.CCCCN1C=CN(C)C1,,False,,False,,False,3.832399492416686,False
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,4.407421427436482,False,,False,5.642240772861618,False,,False
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,5.007421678456522,False,4.931238759019225,False,4.3922393223313625,False,4.300979991242114,False
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,,False,,False,4.9969534480296955,False,,False
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,False,,False,3.8232520113632606,False,,False
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,,False,,False,3.928033371107948,False,,False
Br.COCCCN1Cc2ccccc2C1=N,,False,,False,4.3922393223313625,False,,False
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,,False,,False,4.9344127982132715,False,,False
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,4.907421909272092,False,,False,,False,,False
Br.COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3,,False,,False,,False,4.0007325469525,False
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,False,,False,4.89695369244143,False,,False
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,4.457421585917263,False,4.081239412948973,False,4.792241107578132,False,4.200979882466957,False
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,4.707421061046215,False,,False,7.492240905132714,False,4.0009781713314085,False
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,5.257419874781714,False,4.7812382168028345,False,5.992240583789779,False,,False
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,,False,,False,5.592241033466911,False,,False
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,,False,,False,5.3922393223313625,False,,False
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,5.257419874781714,False,4.28123853814577,False,5.192241409015731,False,,False
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,False,,False,5.984437495342514,False,,False
Br.Nc1nc(-c2ccccc2)cs1.O,,False,,False,,False,3.800734633636869,False
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,,False,,False,5.1016670343933495,False,4.4007317326115984,False
BrC(Br)Br,4.12948026537563,False,,False,3.8228978265356,False,,False
BrC(Br)C(Br)Br,4.131609187753214,False,,False,,False,,False
