SMILES,challenge_cyp1a2,challenge_cyp2c9,challenge_cyp2d6,challenge_cyp3a4,pharmabench_cyp2c9,pharmabench_cyp2d6,pharmabench_cyp3a4,tox21_cyp1a2,tox21_cyp2c9,tox21_cyp2d6,tox21_cyp3a4,chembl_cyp1a2,chembl_cyp2c9,chembl_cyp2d6,chembl_cyp3a4,octant_cyp3a4,aid1851_cyp1a2,aid1851_cyp2c9,aid1851_cyp2d6,aid1851_cyp3a4,aid1851_cyp2c19
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,,,,,,,,,,,,,,,,,5.300000202445418,4.650000220873455,5.349999603463148,5.450000476425332,
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,,,,,,,,,,,,,,,,,5.149999867728904,4.550000451689026,5.450000476425332,4.800000874803203,5.100000128334196
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,,,,,,,,,5.060031709448664,,,,,,,,,,,
Br.CC(NC1=NCCCCC1)c1ccccc1,,,,,,,,,,,,,,,,,,,5.749999855918706,,
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,,,,,,,,,,,,,,,,,5.450000476425332,,,4.849999245077862,4.949999401714239
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,,,,,,,,,,,,,,,,,4.849999245077862,4.700000503883016,5.450000476425332,4.499999678657065,4.550000451689026
Br.CCCCCCN1Cc2ccccc2C1,,,,,,,,,,,,,,,,,4.899998417198648,,5.450000476425332,,5.0
Br.CCCCN1C2=NCCCN2c2ccccc21,,,,,,,,,,,,,,,,,4.59999938302362,,5.300000202445418,,
Br.CCCCN1C=CN(C)C1,,,,,,,,,,,4.841604333898873,,,,,,,,,,
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,,,,,,,,,,,,,,,,,5.049999969853415,,6.149999867728904,4.499999678657065,4.800000874803203
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,,,,,,,,,,,,,5.650000220873455,5.650000220873455,4.899998417198648,5.200000237109354,6.149999867728904
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,,,,,,,,,,,,,,,,,,,5.499999678657065,,
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,,,,,,,,,4.248864914695038,,,,,,,,,,,
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,,,,,,,,,,4.3536462744397255,,,,,,,,,,,
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,,,,,,,,,,,,,,,,,,,4.349999603463148,,
Br.COCC(C)NCc1cccc(C)c1,,,,,,,,,,,,,,,,,,,4.849999245077862,,
