SMILES,challenge_cyp1a2,challenge_cyp2c9,challenge_cyp2d6,challenge_cyp3a4,qhts_cyp1a2,qhts_cyp2c9,qhts_cyp2d6,qhts_cyp3a4,pharmabench_cyp2c9,pharmabench_cyp2d6,pharmabench_cyp3a4,tox21_cyp1a2,tox21_cyp2c9,tox21_cyp2d6,tox21_cyp3a4,chembl_cyp1a2,chembl_cyp2c9,chembl_cyp2d6,chembl_cyp3a4,octant_cyp3a4,qhts_cyp1a2__lt,qhts_cyp2c9__lt,qhts_cyp2d6__lt,qhts_cyp3a4__lt
Br.Br.N=C(N)SCCN,,,,,,,,5.499996931948306,,,,,,,,,,,,,False,False,False,False
Br.Br.c1cc(Cc2cnc[nH]2)ccn1,,,,,,,,5.399996913372259,,,,,,,,,,,,,False,False,False,False
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,,,,,5.300000202445418,,5.349999603463148,5.450000476425332,,,,,,,,,,,,,False,False,False,False
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,,,,,5.149999867728904,4.550000451689026,,4.800000874803203,,,,,,,,,,,,,False,False,False,False
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,,,,,,,4.40000018605658,,,,,,5.060031709448664,,,,,,,False,False,False,False
Br.CC(NC1=NCCCCC1)c1ccccc1,,,,,,,5.749999855918706,,,,,,,,,,,,,,False,False,False,False
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,,,,,5.450000476425332,,,4.849999245077862,,,,,,,,,,,,,False,False,False,False
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,,,,,4.849999245077862,,5.450000476425332,,,,,,,,,,,,,,False,False,False,False
Br.CCCCCCN1Cc2ccccc2C1,,,,,4.899998417198648,,5.450000476425332,,,,,,,,,,,,,,False,False,False,False
Br.CCCCN1C2=NCCCN2c2ccccc21,,,,,4.59999938302362,,5.300000202445418,,,,,,,,,,,,,,False,False,False,False
Br.CCCCN1C=CN(C)C1,,,,,,,,,,,,,,,4.841604333898873,,,,,,False,False,False,False
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,,,,,5.049999969853415,,6.149999867728904,,,,,,,,,,,,,,False,False,False,False
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,5.650000220873455,5.650000220873455,4.899998417198648,5.200000237109354,,,,,,,,,,,,,False,False,False,False
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,,,,,,,5.499998305302686,,,,,,,,,,,,,,False,False,False,False
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,,,,,,,,,,,,,4.248864914695038,,,,,,,False,False,False,False
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,,,,,,,,,,,,,,4.3536462744397255,,,,,,,False,False,False,False
Br.COCCCN1Cc2ccccc2C1=N,,,,,,,4.899998417198648,,,,,,,,,,,,,,False,False,False,False
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,,,,,,,,,,,,,,5.360025701545049,,,,,,,False,False,False,False
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,,,,,5.550000451689026,,,,,,,,,,,,,,,,False,False,False,False
Br.COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3,,,,,,,,4.899998417198648,,,,,,,,,,,,,False,False,False,False
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,,,,,,5.39999854971442,,,,,,,,,,,,,,False,False,False,False
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,5.100000128334196,4.800000874803203,5.300000202445418,5.100000128334196,,,,,,,,,,,,,False,False,False,False
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,,,,,5.349999603463148,,8.0,4.899998417198648,,,,,,,,,,,,,False,False,False,False
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,,,,,5.899998417198648,5.499999678657065,6.499999678657065,,,,,,,,,,,,,,False,False,False,False
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,,,,,,,6.100000128334196,,,,,,,,,,,,,,False,False,False,False
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,,,,,,,5.899998417198648,,,,,,,,,,,,,,False,False,False,False
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,,,,,5.899998417198648,5.0,5.700000503883016,,,,,,,,,,,,,,False,False,False,False
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,,,,,,,,,,,,,6.410050398674292,,,,,,,False,False,False,False
Br.Nc1nc(-c2ccccc2)cs1.O,,,,,,,,4.700000503883016,,,,,,,,,,,,,False,False,False,False
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,,,,,4.2441251443275085,4.2441251443275085,5.599997654072044,5.299997602857746,,,,,,,,,,,,,True,True,False,False
BrC(=NNc1nn[nH]n1)c1ccncc1,,,,,,,,,,,,,,,,,,5.6,5.3,,False,False,False,False
BrC(Br)Br,,,,,,,,,,,,4.198510537295644,,4.248510729867378,,,,,,,False,False,False,False
BrC(Br)C(Br)Br,,,,,,,,,,,,4.200639459673228,,,,,,,,,False,False,False,False
BrC(c1cccc2ccccc12)c1cccc2ccccc12,,,,,5.899813936040543,5.499998305302686,4.2441251443275085,4.2441251443275085,,,,,,,,5.9,5.5,,,,False,False,True,True
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,,,,,,,,4.800000874803203,,,,,,,,,,,4.8,,False,False,False,False
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,,,,,,,,,,,4.785993993937474,4.6099352360914745,5.5609923895965,,,,,,False,False,False,False
BrCC(Br)C1CCC(Br)C(Br)C1,,,,,,,,,,,,4.374919680746504,4.500638760449454,4.200639459673228,,,,,,,False,False,False,False
BrCC(Br)c1ccccc1,,,,,,,,,,,,4.148864616843579,4.148864616843579,5.148864004988426,,,,,,,False,False,False,False
BrCCBr,,,,,,,,,,,,4.510326927538939,,4.3603272821603385,,,,,,,False,False,False,False
BrCCCCCCBr,,,,,,,,,,,,4.198864633756791,4.148864616843579,,,,,,,,False,False,False,False
BrCCOc1ccccc1,,,,,,,,,,,,4.171730435066144,,4.247449905206265,,,,,,,False,False,False,False
BrCCc1ccccc1,,,,,,,,,,,,,,4.392526747522998,,,,,,,False,False,False,False
BrCc1ccc(Br)cc1,,,,,,,,,,,,,,4.3988649544426,,,,,,,False,False,False,False
BrCc1cccc(Oc2ccccc2)c1,,,,,,,,,,,,4.3988649544426,4.098864931407043,4.448864857638396,,,,,,,False,False,False,False
BrCc1ccccc1,,,,,,,,,,,,,,4.278321258919463,,,,,,,False,False,False,False
Brc1[nH]nc2ccccc12,,,,,5.800000874803203,,4.2441251443275085,4.2441251443275085,,,,,,,,5.8,,,,,False,False,True,True
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,,,,,,,,7.061480274823508,,,,,,,,,False,False,False,False
Brc1c(Br)c(Br)c2[nH]nnc2c1Br,,,,,,,,,,,,,,,,,,,5.55,,False,False,False,False
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,,,,,,,,5.5499972930101755,,,,,,,,,,,,,False,False,False,False
Brc1c(NC2=NCCN2)ccc2nccnc12,,,,,4.400116927926312,4.2441251443275085,4.40000018605658,5.600004348609552,,,,,,4.510030276850633,,4.4,,4.4,5.76,,False,True,False,False
Brc1c2ccccc2c(Br)c2ccccc12,,,,,,,,,,,,6.543026986364183,,,,,,,,,False,False,False,False
Brc1c2ccccc2cc2ccccc12,,,,,,,,,,,,6.344669441990659,4.444631028601807,,4.601884571789634,,,,,,False,False,False,False
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,,,,,,,,,,,,4.705375075920032,,,,,,,,,False,False,False,False
