SMILES,challenge_cyp1a2,challenge_cyp2c9,challenge_cyp2d6,challenge_cyp3a4,qhts_cyp1a2,qhts_cyp2c9,qhts_cyp2d6,qhts_cyp3a4,pharmabench_cyp2c9,pharmabench_cyp2d6,pharmabench_cyp3a4,tox21_cyp1a2,tox21_cyp2c9,tox21_cyp2d6,tox21_cyp3a4
Br.Br.N=C(N)SCCN,,,,,,,,5.499996931948306,,,,,,,
Br.Br.c1cc(Cc2cnc[nH]2)ccn1,,,,,,,,5.399996913372259,,,,,,,
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,,,,,5.300000202445418,,5.349999603463148,5.450000476425332,,,,,,,
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,,,,,5.149999867728904,4.550000451689026,,4.800000874803203,,,,,,,
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,,,,,,,4.40000018605658,,,,,,5.060031709448664,
Br.CC(NC1=NCCCCC1)c1ccccc1,,,,,,,5.749999855918706,,,,,,,,
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,,,,,5.450000476425332,,,4.849999245077862,,,,,,,
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,,,,,4.849999245077862,,5.450000476425332,,,,,,,,
Br.CCCCCCCCN1C=CN(C)C1,,,,,,,,,,,,4.454564222747602,4.404564407270476,4.454564222747602,
Br.CCCCCCN1Cc2ccccc2C1,,,,,4.899998417198648,,5.450000476425332,,,,,,,,
Br.CCCCN1C2=NCCCN2c2ccccc21,,,,,4.59999938302362,,5.300000202445418,,,,,,,,
Br.CCCCN1C=CN(C)C1,,,,,,,,,,,,,,,4.841604333898873
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,,,,,5.049999969853415,,6.149999867728904,,,,,,,,
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,5.650000220873455,5.650000220873455,4.899998417198648,5.200000237109354,,,,,,,
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,,,,,,,5.499998305302686,,,,,,,,
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,,,,,,,,,,,,,4.248864914695038,
Br.CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,,,,,,,,,,,,,,4.3536462744397255,
Br.COCCCN1Cc2ccccc2C1=N,,,,,,,4.899998417198648,,,,,,,,
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,,,,,,,,,,,,,,5.360025701545049,
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,,,,,5.550000451689026,,,,,,,,,,
Br.COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3,,,,,,,,4.899998417198648,,,,,,,
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,,,,,,5.39999854971442,,,,,,,,
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,5.100000128334196,4.800000874803203,5.300000202445418,5.100000128334196,,,,,,,
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,,,,,5.349999603463148,,8.0,4.899998417198648,,,,,,,
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,,,,,5.899998417198648,5.499999678657065,6.499999678657065,,,,,,,,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,,,,,,,6.100000128334196,,,,,,,,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,,,,,,,5.899998417198648,,,,,,,,
