SMILES,pac50_cyp1a2,pac50_cyp2c19,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4,weight_cyp1a2,weight_cyp2c19,weight_cyp2c9,weight_cyp2d6,weight_cyp3a4
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,5.300000202445418,,4.650000220873455,5.349999603463148,5.450000476425332,0.7,,0.15,1.0,0.7
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,5.149999867728904,5.100000128334196,4.550000451689026,5.450000476425332,4.800000874803203,0.7,0.7,0.7,0.4,0.7
Br.CC(NC1=NCCCCC1)c1ccccc1,,,,5.749999855918706,,,,,1.0,
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,5.450000476425332,4.949999401714239,,,4.849999245077862,0.7,0.7,,,0.7
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,4.849999245077862,4.550000451689026,4.700000503883016,5.450000476425332,4.499999678657065,0.7,0.15,0.15,1.0,0.15
Br.CCCCCCN1Cc2ccccc2C1,4.899998417198648,5.0,,5.450000476425332,,0.7,0.7,,0.7,
Br.CCCCN1C2=NCCCN2c2ccccc21,4.59999938302362,,,5.300000202445418,,0.7,,,0.7,
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,5.049999969853415,4.800000874803203,,6.149999867728904,4.499999678657065,0.7,0.4,,1.0,0.15
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,5.650000220873455,6.149999867728904,5.650000220873455,4.899998417198648,5.200000237109354,1.0,1.0,1.0,0.7,0.7
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,,,,5.499999678657065,,,,,1.0,
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,,,,4.349999603463148,,,,,0.4,
Br.COCC(C)NCc1cccc(C)c1,,,,4.849999245077862,,,,,0.4,
Br.COCCCN1Cc2ccccc2C1=N,,4.40000018605658,4.949999401714239,4.899998417198648,,,0.15,0.15,0.7,
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,5.550000451689026,4.749999855918706,5.550000451689026,,,1.0,0.7,0.4,,
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,,,5.40000018605658,,,,,1.0,
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,5.100000128334196,6.40000018605658,4.800000874803203,5.300000202445418,5.100000128334196,0.7,1.0,0.7,1.0,0.7
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,5.349999603463148,4.40000018605658,,8.0,4.899998417198648,0.7,0.15,,1.0,0.7
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,5.899998417198648,5.0,5.499999678657065,6.499999678657065,,1.0,0.7,1.0,1.0,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,,,,6.100000128334196,,,,,1.0,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,,4.550000451689026,4.749999855918706,5.899998417198648,,,0.15,0.15,1.0,
