SMILES,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
COC1=CC2=CC=CC=C2C3=C1OC(=C3)[N+](=O)[O-],6.899629454882437,,,
COC1=C(OC2=C(C1=O)C=CC3=C2C=CO3)C4=CC=CC=C4,7.600326278518962,6.0,5.0,5.499996931948306
CC(=O)C1=C(C=C2C(=C1)C=CC(O2)(C)C)O,,,,4.499999678657065
COC1=CC2=C(C=C1C3=CC4=C(C=C5C(=C4)C=CO5)OC3=O)OCO2,,,,6.400007822415902
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)OC)OC,4.700058463963156,4.899998417198648,,4.59999938302362
CN1CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6,,,,5.099998010028197
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)O,5.600326278518962,4.499999678657065,5.14999860351428,4.800000874803203
C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@@H](O1)C5=CC6=C(C=C5)OCO6,5.698970004336019,5.399996913372259,4.800000874803203,
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O,,,,5.0
CC1(CC2=C([C@H](NC3=CC=CC=C3N2)C4=C(C=CC(=C4Br)OC)OC)C(=O)C1)C,4.698970004336019,4.499999678657065,,
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,,,,4.499999678657065
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,,,,4.59999938302362
CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,,,,5.299997602857746
CCOC(=O)C1CSC(N1)CC2=CC=C(C=C2)OCC3=CC=C(C=C3)[N+](=O)[O-],,,,4.800000874803203
CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C,,,,4.800000874803203
C1[C@H]2CNC[C@@H]1C3=CC=CC(=O)N3C2,4.500312917381596,,,4.499999678657065
C1=CC=C(C(=C1)C(=O)NCC(=O)O)O,5.300162274132754,,,
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl,,,,4.59999938302362
CC1=CC(=C(C=C1)N)N,,,,4.59999938302362
C1CSC2=NC(=C(N21)C3=CC=NC=C3)C4=CC=C(C=C4)F.Cl.Cl,,,,4.800000874803203
CCCCCC1=CC(=CC(=C1)O)O,,,,4.899998417198648
CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,,,,4.40000018605658
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.O.O.O.[Cl-],,,,4.800000874803203
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,,,,5.299997602857746
CCCCCCC(C)(C)C1=CC(=C(C=C1)[C@@H]2C[C@@H](CC[C@H]2CCCO)O)O,,4.59999938302362,4.499999678657065,
CN(CCCl)CC1=CC(=C(C(=C1)Cl)NC2=NCCN2)Cl,,,4.499999678657065,4.59999938302362
CCC1=C2C3=CC(=C(C=C3NC2=CN=C1C(=O)OC)OC)OC,6.100179497572904,,,4.800000874803203
CC[C@]12CCCN3[C@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,4.400116927926312,,4.799999179119306,5.299998827036022
CN1CCC2=CC(=C(C3=C2C1=C(C4=CC(=C(C=C43)OC)OC)C=O)OC)OC,,,,5.699991797446187
COC(=O)C(C(C1=CC=CC=C1)NC(=O)OC)C(=O)OC,,,8.102372908709558,5.499996931948306
C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O,,,,4.800000874803203
COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,,,,5.699991797446187
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,,,,4.800000874803203
CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],,,,4.800000874803203
COC1=C2C(=C(C(=C1)CC=C)OC)OCO2,,,,5.0999990348465305
C1=CC(=C(N=C1)C(=O)O)C(=O)O,,,,5.799998134593398
CN1C=CC(=C(C1=O)C#N)OC,,4.899998417198648,,
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,,,,4.899998417198648
CCOC(=O)C[C@H]([C@@H]1CCCCC1=O)C(=O)OCC,,,5.199998172182031,
CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2C(=O)O,4.899629454882437,4.800000874803203,,
COC1=CC=CC=C1CC(=N)N2C[C@H]3[C@@H](C2)C(CCC3=O)(C4=CC=CC=C4)C5=CC=CC=C5,,,,5.499996931948306
CCOC(OCC)P(=O)(CCCN)O,4.600326278518962,,,
COC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,6.199970640755866,,,4.800000874803203
C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N.Cl,,,,4.899998417198648
CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)N5CCN(CC5)C,,5.0999990348465305,4.550000344969798,6.100015437450609
CC(C)C[C@@H](C(=O)N[C@H](CC1=CN(C2=CC=CC=C21)C)C(=O)N[C@H](CC3=CC=CC=N3)C(=O)O)NC(=O)N4CCCCCC4,4.400116927926312,5.199998172182031,,4.800000874803203
CC1=C(SC=N1)CCCl,4.500312917381596,5.599997654072044,4.899998417198648,
COC1=CC=C(C=C1)C2=NN(C(=N)C=C2)CCCC(=O)O,4.300162274132754,5.499996931948306,5.399996913372259,
CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,4.801342913045577,,7.199970640755866,4.800000874803203
CC1=NN=C2N1N=C(C=C2)C3=CC(=CC=C3)C(F)(F)F,7.100179497572904,,,4.499999678657065
CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,5.049800047819151,5.299998827036022,4.449999932356823,4.749998900111134
C1CN(CCN1)C2=CN=CC(=N2)Cl,5.698970004336019,5.699991797446187,,4.800000874803203
C1CCN(C1)C[C@H](COC2=C(C=C(C=C2)Cl)Cl)O,5.300162274132754,,6.50003813440381,
C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O.Cl,,,,4.59999938302362
COC1=CC2=C(C=C1)NC=C2C3=CCNCC3,6.600326278518962,,,5.900008766455316
CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,4.899629454882437,4.800000874803203,4.59999938302362,
COC1=C2C(=C3C(=C1)C=CC(=O)O3)C=CO2,,,,5.399996913372259
C1=CC=C(C=C1)CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N,4.949814727441218,,5.049999238830475,
CC1=C(N2C=CC=C(C2=N1)OCC3=CC=CC=C3)CC#N,6.049543466131166,,,4.800000874803203
C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2Cl)CN3C(=C(N=N3)C(=O)N)N)Cl)Cl,,6.299988937677887,,5.499996931948306
COC1=CC=CC(=C1)N,,,,4.499999678657065
CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],,,,4.499999678657065
CC1=[N+](C2=CC=CC=C2S1)CCC(=O)O,,,5.0999990348465305,
C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC4=C3C=CC(=C4)S(=O)(=O)O)O,5.5003129173815966,6.400007822415902,,
C(CCl)C#N,,,,7.300162274132754
COC1=CC=CC=C1C[C@@H](CC2=NC3=CC=CC=C3N2)C4=NC5=CC=CC=C5N4,5.0,4.899998417198648,8.0,
C(CCNCCCN)CN,4.500312917381596,4.899998417198648,,
C1C[C@H](CC(=O)C1)C(C(=O)OCC2=CC=CC=C2)C(=O)OCC3=CC=CC=C3,,5.499996931948306,,5.399996913372259
C(CCNCCCN)CNCCCN,4.801342913045577,,,
CC1(CC2=CC(=C(C=C2C3=CC4=NC5=CC=CC=C5N=C4N31)OC)OC)C,4.899629454882437,,,4.59999938302362
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],,,,5.0
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,,,,4.40000018605658
C1=CC=C2C(=C1)C=CC=C2N=C=S,,,,4.59999938302362
CC(=O)C1=C(C=C(C=C1)OC)O,,,,5.900008766455316
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,,,,4.40000018605658
C1=CC=C2C=C(C=CC2=C1)NC(=O)C(CC3=CN=CN3)N,,,,5.599997654072044
C1=CC(=C(C=C1Cl)Cl)N,,,,4.499999678657065
C1CCN(CC1)CC[C@@]([C@@H]2C[C@@H]3C[C@H]2C=C3)(C4=CC=CC=C4)O,,,5.699991797446187,4.899998417198648
CC1=CC=C(C=C1)C[C@H](CC2=NC3=CC=CC=C3N2)C4=NC5=CC=CC=C5N4,5.400116927926312,4.899998417198648,7.100179497572904,
C1=CC=C2C(=C1)C=CC=C2N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)O)S(=O)(=O)O)O)O,5.400116927926312,5.0999990348465305,,
C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N.Cl,,,,4.899998417198648
C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N,5.400116927926312,,5.799998134593398,5.499996931948306
CCOC1=CC(=C(C=C1C(=O)C)OCC)OCC,,,,4.800000874803203
COC1CCC(CC1)C(=O)C2=CC3=CC4=C(N=C3C=C2)OCCC4,,,,5.299997602857746
C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,,,,4.59999938302362
C1=CC=C(C(=C1)C2=CC=C(C=C2)CCCC(=O)NC3=CC=C(C=C3)O)F,,,,4.499999678657065
CC1=C2C(=CC(=C1O)O)C3=C(O2)C4=CC=CC=C4OC3=O,,,,4.700000503883016
C(CN)CSC(=N)N,5.199970640755866,,,
C1=CC=C2C(=C1)C=CC3=C2C=CN=C3Cl,,,,4.899998417198648
CC1=C(C=C(C=C1)N=C=O)N=C=O,,,,4.800000874803203
C1CCC(CC1)(C2=CC(=CC=C2)N=C=S)N3CCCCC3,4.500312917381596,,5.0,4.800000874803203
C1=CC(=C(C=C1CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N)Cl)Cl,5.0,,4.899998417198648,4.899998417198648
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,,,,4.899998417198648
CCCCCCCCCCCCCCSCC(=O)O,,4.40000018605658,,
C1=CC=C2C(=C1)C(=CN2)CCN,5.5003129173815966,,4.499999678657065,4.40000018605658
CC(C)(C)C(=O)OC1=C(C=C(C=C1)[C@H](CNC)O)OC(=O)C(C)(C)C,,,,5.0
