SMILES,pic50_cyp2c9,pic50_cyp2d6,pic50_cyp3a4,censored_cyp2c9,censored_cyp2d6,censored_cyp3a4
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C(=O)NCC)nc4)cc23)c1F,5.301029995663981,,,False,,
COc1cc2c(Nc3ccccc3N3CCOCC3)c(C(N)=O)cnc2cc1-c1c(C)noc1C,,,5.823908740944319,,,False
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,,5.455931955649724,,,False,
COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(F)ccc21,,5.1938200260161125,,,False,
Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H]2CN(c3nccc(C(F)(F)F)n3)C[C@@H]2C(=O)O)cc1,5.494850021680094,,,False,,
C[C@H]1CN(Cc2ccc(CC(=O)N3CCC(Nc4ccc(F)cc4)CC3)cc2)CCN1,,,5.309803919971486,,,False
N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,,,4.756961951313706,,,False
Cc1cc(N2CCN(C)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,,,5.455931955649724,,,False
CCc1cccc(C)c1CNc1cccn2c(C)c(C)nc12,5.823908740944319,5.958607314841775,5.200659450546418,False,False,False
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,,5.967771005386541,,,False,
CCc1cccc(-c2c(Cl)cccc2C(O)(CCCNC(=O)OC)[C@@H]2CCCN(C(=O)[C@H]3C[C@@H](N)[C@@H](O)C3)C2)c1,,,6.6020599913279625,,,False
CCN(CC)C(=O)c1cccc(NC(=O)Nc2ccc(-c3ccnc4[nH]cnc34)cc2)c1,,,7.327902142064282,,,False
COc1ccc(COc2cnn(CC(=O)c3ccc(CN(C)C)cc3C)c(=O)c2)nc1,,,4.7447274948966935,,,False
CCN(CC)[C@H](C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,,,6.236572006437063,,,False
CNS(=O)(=O)c1ccc2c(c1)CCC(C(=O)N(C)[C@H](CN1CC[C@H](O)C1)c1ccccc1)O2,,6.494850021680094,,,False,
COc1ccc(NC(=O)N2C[C@H]3C[C@@H](c4ccccc4C(F)(F)F)C[C@H]3C2)c(C(=O)O)c1,,,5.096910013008056,,,False
CN1CCN(C(=O)[C@@H](COCc2ccnc(Cl)c2)NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)CC1,,,4.958607314841775,,,False
CCN(C[C@H](Cc1ccccc1)NC(=O)OCc1cnco1)C[C@H](Cc1ccccc1)NC(=O)OCc1ncco1,,,6.562249437179612,,,False
COc1cc(C[C@@H]2[C@@H](Cc3cc(OC)c4c(c3)OCO4)CO[C@@H]2O)cc(OC)c1OC,,,6.080921907623926,,,False
c1ccc2c(c1)CC(CCN1CCC1)=C2Cc1cnccn1,,5.0533021627542585,,,False,
O=C(CC1([C@H]2COC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC2CCC(C1)N2,,,5.00436480540245,,,False
COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2,6.0,6.698970004336019,6.0,False,False,False
O=C(Cc1ccncc1)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,,4.3979400086720375,5.42021640338319,,False,False
O=C([C@H](O)c1ccccc1)N1CCC(Nc2ccc3[nH]ncc3c2)CC1,,,6.0,,,False
Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3cccc(CO)c3)CC[C@H]2C)c1,,,5.3979400086720375,,,False
Cc1cc(C(=O)N(C)C)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,5.552841968657781,,5.657577319177793,False,,False
COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,,,6.638272163982407,,,False
c1ccc2c(c1)CN[C@@H](CN(CCCCNC1CCCCC1)[C@H]1CCCc3cccnc31)C2,,,4.931814138253838,,,False
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccc3C(F)(F)F)no2)CC1,5.0,,,False,,
C#CCNc1nc2ccc(C(=O)N(CC#C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,,,7.42021640338319,,,False
COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccccn5)cccc4c3)c2cc1OC,,,4.886056647693163,,,False
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,6.698970004336019,6.096910013008056,7.154901959985743,False,False,False
O=C(N[C@@H](c1ccccc1F)C1CC1)c1ccc2[nH]nc(-c3ccc(N4C5CCC4COC5)cc3)c2c1,,,6.619788758288394,,,False
Cc1cc2cc(CC(O)(CC(C)(C)c3cc(F)ccc3C)C(F)(F)F)[nH]c2cn1,,,6.221848749616356,,,False
CC(C)CN(C[C@@H](O)[C@H](Cc1cccnc1)NC(=O)OCc1cncs1)C(=O)c1ccc2ncsc2c1,,,7.045757490560675,,,False
O=C(N[C@H]1CN2CCC1CC2)c1c[nH]c2ccsc2c1=O,,,5.031517051446065,,,False
Cc1cccc(NC(=O)c2cc(Cl)cc(Oc3cncc(F)c3)c2)n1,,,6.154901959985743,,,False
CCN[C@@H](CC(C)C)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,,,6.1938200260161125,,,False
c1ccc(CN2CCN(Cc3nc(-c4ccccc4)no3)CC2)cc1,,4.991399828238082,,,False,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H]1C,,,4.045757490560675,,,False
O=C(/C=C/c1cccc(Cl)c1)/C=C/c1cccc(Cl)c1,4.0,,,True,,
N[C@H](C(=O)N1CCC(Nc2ccc3[nH]ncc3c2)CC1)c1ccccc1,,,6.346787486224656,,,False
