SMILES,luciferase_artifact,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
C1=CC(=CN=C1)N,False,,4.1904308589201404,,
C1CN(CCC1(C2=CC=C(C=C2)F)O)[C@@H]3COC4=C([C@@H]3O)C=CC(=C4)O,True,5.110031956768376,4.860029658404407,4.610029886099158,
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC=C)O,False,,4.860029658404407,,6.160019442321658
CCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,False,4.4495735070633335,,5.449575952683668,
CC1=CC(=C(C=C1)OP(=S)(NC(C)C)OC)[N+](=O)[O-],False,4.948862919408721,5.59885804480627,4.348864512263225,6.298863933907474
CC1=C(C2=C(O1)C(=CC=C2)NC(=O)C3=C(C=CC=C3Cl)Cl)C(C)(C)O,False,4.498865393540615,5.798876102792621,,4.548864726812244
CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,False,,4.760030197409634,5.26003230324049,5.210031697910783
COC(=O)C1=C(C=CS1)S(=O)(=O)N,False,,,4.198864633756791,
CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,True,,4.810029897405945,,4.96003097313254
CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC.Cl,True,5.26003230324049,4.710029980825098,,
CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,False,4.810029897405945,4.810029897405945,,5.160031997995545
CC1CCC2CC1C2(C)C,False,,,4.665787590606824,4.448864857638396
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,True,4.397449532974095,4.197449292591688,4.247449905206265,
CC(=O)NC1=NC(=O)N(C=C1)C2COC(O2)COC(=O)C3=CC=CC=C3,False,4.560029756289291,,,
CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=CC4=C3C=CN4CCC(=O)O,False,,4.548864726812244,,
