SMILES,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
C1=CC(=CN=C1)N,,4.1904308589201404,,
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC=C)O,,4.860029658404407,,6.160019442321658
CCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,4.4495735070633335,,5.449575952683668,
CC1=CC(=C(C=C1)OP(=S)(NC(C)C)OC)[N+](=O)[O-],4.948862919408721,5.59885804480627,4.348864512263225,6.298863933907474
CC1=C(C2=C(O1)C(=CC=C2)NC(=O)C3=C(C=CC=C3Cl)Cl)C(C)(C)O,4.498865393540615,5.798876102792621,,4.548864726812244
CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,,4.760030197409634,5.26003230324049,5.210031697910783
COC(=O)C1=C(C=CS1)S(=O)(=O)N,,,4.198864633756791,
CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,4.810029897405945,4.810029897405945,,5.160031997995545
CC1CCC2CC1C2(C)C,,,4.665787590606824,4.448864857638396
CC(=O)NC1=NC(=O)N(C=C1)C2COC(O2)COC(=O)C3=CC=CC=C3,4.560029756289291,,,
CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=CC4=C3C=CN4CCC(=O)O,,4.548864726812244,,
CC[C@@H]1C[C@@H](C2=C(N1C(=O)OC(C)C)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(=O)C,4.448864857638396,,,6.148864004988426
CC(COCCO)OCCO,,,4.5887356181743275,
CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C2=CC=CC=C2,5.100463698668787,5.225464164427222,,
CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4.Cl,,4.860029658404407,4.860029658404407,5.210031697910783
C1=CC(=CC(=C1)N(CC2=CN=CC=C2)C3=CC(=C(C=C3)OC(F)F)OC(F)F)C(=O)O,4.198864633756791,4.748865707419434,4.3988649544426,
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O,4.435918911212315,,,
C1=CC=C(C(=C1)C(=O)O)C(=O)O,4.184882688442537,,4.103438511294483,
C1=CC=NC=C1.Cl,4.187648917428754,,,
C1=CC=NC(=C1)C(=O)O,,4.515519360918082,,
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCCC4)CCC5=CC(=O)CC[C@H]35,4.560029756289291,4.760030197409634,,
CCCNC(C)(C)COC(=O)C1=CC=CC=C1.Cl,,,6.310069895981782,
CC1=CC(=C(C(=C1)C)C(=O)O)C,4.3988649544426,,,
C[Sn](Cl)(Cl)Cl,4.1636667046964035,,4.536513886243387,
CCNCC.Cl,4.498865393540615,,,
CCCN.[N+](=O)(O)[O-],4.396743007005474,,,
COC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3C(=C2C#N)NCC4=CC=CC=C4,4.798865170407076,5.798876102792621,,5.348867421449518
CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,,4.510030276850633,4.560029756289291,5.560036064079095
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,5.048866560110487,4.548864726812244,,
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,4.959037874550037,,,
CC1=C(C2=CC=CC=C2C(=C1)O)O,6.160019442321658,4.9100313379205005,4.760030197409634,4.860029658404407
CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,6.310069895981782,6.209996479609511,5.310025555333226,5.810032701648728
C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,4.560029756289291,,4.199928658690947,
COC1=CC(=O)O[C@H](C1)CCC2=CC=CC=C2,4.4314451151342045,4.481445264677811,,
CCC(=O)O[C@@H]1C[C@H]2[C@@H]3CCC4=C([C@H]3CC[C@@]2([C@H]1OC(=O)CC)C)C=CC(=C4)OC(=O)CC,,4.760030197409634,,
CCC(CO)CO,4.698865786166042,,,
CCC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)CN4CCN(CC4)C5=CC=C(C=C5)OC)OCC(=O)O,,4.798865170407076,,4.948862919408721
CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC(=O)C=C(C)C,4.448864857638396,4.448864857638396,,
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,4.396390174579963,,4.446391223485836,
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,6.236946559700385,4.186956374551917,,
CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2.Cl,,,6.860120913598763,
CC1CC(CC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O.Cl,,,4.810029897405945,
C1=CC(=CC=C1C(CN)O)O.Cl,,,4.312894392355419,
CCCCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,4.448510966075284,,5.648512909550289,4.0956385788075735
CC(=O)NC(=O)C1=CC=CC=C1O,4.560029756289291,,,
CC1=CC(=C(C(=C1)C)C=O)C,,4.254354595552943,4.117420538365575,
CN(C)CCC1=CNC2=C1C=C(C=C2)O,,4.708879896548084,4.758879556034719,
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl,4.460029874171644,4.460029874171644,5.910024277312271,4.760030197409634
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OC,4.3988649544426,4.698865786166042,,4.548864726812244
CC(CC1=CC=CC=C1)NCCN2C=NC3=C2C(=O)N(C(=O)N3C)C.Cl,,,5.254207185533345,6.1542200328881105
C1CC2C(C1)C3CC2CC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,4.466154252489986,4.5161546276691436,,4.466154252489986
C1=CC=C(C=C1)C2=C(N=C(S2)N)N,4.510030276850633,,,5.460033632003287
CC1=CC=NC2=CC=CC=C12,4.399928192697783,,4.199928658690947,
CCCCCC1C(CCC1=O)CC(=O)OC,4.550999195565476,4.550999195565476,,
CCCN([C@@H]1CCC2=C(C1)C=C(C=C2)OC)C3CCN(CC3)C(=O)C4CCNCC4,,,4.998863636444484,4.423145748029465
CC1=CC2=C(C(=C1)O)C(=C3C(=C2)C=CC=C3O)O,4.740602051704119,5.310025555333226,,5.210031697910783
CC(CO)O,4.348864512263225,5.496222931403294,5.524721161124616,4.565056040302015
CC1C2CC(C1(C)C)CC2C3CCCC(C3)O,4.3988649544426,4.3988649544426,,
CCCO,,,4.898864942667959,
C1=CC=C(C=C1)C(=O)NO,4.4701989082177205,4.4701989082177205,4.220198673943827,
CCCC(=O)C1=CC=CC=C1,,,4.2180153353291665,
CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,4.467775120664798,5.249221701346889,,
CC1=CC(=C(C=C1C(C)(C)C)C(C)(C)C)O,4.448864857638396,4.598864942530007,4.148864616843579,4.498865393540615
CC1=NC=C(C(=N1)N)CN(C=O)/C(=C\2/CCOC(=O)S2)/C,,,4.810029897405945,4.810029897405945
C1CCN(CC1)C[C@@H](CO/N=C(/C2=C[N+](=CC=C2)[O-])\Cl)O,,,4.810029897405945,
CC1=C(C=C(C=C1)C(C)C)O,4.648864911118024,4.898864942667959,,4.3988649544426
C1=CC=C(C=C1)NC(=O)CS,,4.9100313379205005,,4.810029897405945
C1=CC=C(C=C1)COC(=O)Cl,4.194630333540573,,,
C1=CC=C(C=C1)CNC(=O)CCCl,4.478585991510725,,,
C1CCC(=O)OCC1,4.394981704415236,,4.194981959547696,
CC(CCC=C(C)C)CC(=O)O,,4.198864633756791,,
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,4.3988649544426,4.498865393540615,4.087451415137264,4.498865393540615
CCOC(=S)SSC(=S)OCC,,4.648864911118024,4.198864633756791,
CC(C)CCCC(C)NCCC(C)C,,,5.460033632003287,
CC(C)(C1=CC=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC=C(C=C3)F)O,4.448864857638396,4.548864726812244,,4.3988649544426
C1CCCCCCCC(=O)CCCCCC1,,,,4.648864911118024
CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,4.398157210217902,5.1981574147030525,4.6981564646377985,
COC1=CC(=C(C=C1N)OC)S(=O)(=O)NC2=CC=CC=C2,4.3988649544426,4.448864857638396,4.148864616843579,5.4488672992713925
CCCCN(CCC(=O)OCC)C(=O)C,4.306118789647335,,,
CC(C)CC(=O)O,,,4.258519061275072,
CS(=O)(=O)C1=C(C=C(C=C1)[C@@H](C[C@H]2CCC(=O)C2)C(=O)NC3=NC=CN=C3)Cl,,,,4.448864857638396
C1CC(=O)CC(=O)C1,4.199928658690947,4.0999285107073415,,
CC(=CC(=O)C=C(C)C)C,4.451706419794678,,,
CC(C)CCCCCOC(=O)CCS,4.3988649544426,,,
C1=CC=NC(=C1)N,,,5.319827717688698,
C1CSCCS1,,,4.452419724893421,
CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,4.450994284340003,,4.200994607009435,
C(CCCC(=O)O)CCC(=O)O,4.344631027547938,,4.418911482264678,
C(CCCCCC(=O)O)CCCCCC(=O)O,,4.277252609992049,4.402252778791559,
C1=CN=C(C=N1)C(=O)N,,,4.504563902680813,
C1CNCCC1N2C3=C(C=C(C=C3)Cl)NC2=O,4.460029874171644,,4.810029897405945,
CCOC(=O)N1CCC(CC1)NC2=C(C=C(C=C2)Cl)N,,5.060031709448664,4.810029897405945,
CCOC(=O)N1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O,4.710029980825098,5.034311578542892,,
CC(C)CCCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCCC(C)C)C(=O)OCCCCCCC(C)C,,4.148864616843579,,
C1=CC(=C(C=C1SC#N)[N+](=O)[O-])N,5.796042908318756,4.396038709564252,4.446038128163577,4.146038493387563
CC(C)CCCCCCC1=CC=C(C=C1)OCCOCCO,4.197013625070935,,,
CNC.Cl,,,4.105640177703833,
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,4.4293718440243035,5.548858579207237,,5.797893288609764
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,,,4.760030197409634,
