SMILES,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
CCC1=CC=C(S1)C2=NC3=CC(=NN3C(=C2)C(F)(F)F)C(=O)NC4=CN(N=C4)CC5=CC=CC=C5C,,5.100000128334196,,5.499999678657065
CC1=C(C(=NN1C)C)CNC(=O)/C=C/C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)Br,,5.0,,5.40000018605658
CC1=NN(C=C1CNC(=O)/C=C/C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)Br)C,,4.899998417198648,,5.499999678657065
C1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2NC(=O)C4=CC=C(O4)COC5=CC=CC=C5[N+](=O)[O-],5.749999855918706,5.700000503883016,4.749999855918706,5.349999603463148
C1=CC(=C(C(=C1)Cl)/C=C/C(=O)NCC2=CC=C(C=C2)S(=O)(=O)N)Cl,4.800000874803203,,,4.800000874803203
C1CN(CCN1CCNC(=O)C2=CC3=CC=CC=C3OC2=O)C(=O)C4=CC5=CC=CC=C5OC4=O,,,,4.849999245077862
C1=CSC(=C1)C2=NC3=C(C(=C2)C4=CC=C(C=C4)Cl)C(=C(S3)C#N)N,5.899998417198648,5.349999603463148,,
C1=CC(=CC=C1C2=CC=C(N2NC(=S)N)CCC(=O)O)Br,,4.849999245077862,,
COC1=CC2=CC=CC=C2C3=C1OC(=C3)[N+](=O)[O-],6.899998417198648,,,
C1=CC=C(C(=C1)C(=O)NCC2=CC=CO2)NS(=O)(=O)C3=CC=C(S3)Br,4.849999245077862,6.59999938302362,,
C1=CC=C(C(=C1)C(=O)OCC(=O)NC2=C(C=C(C=C2)Br)F)N,5.700000503883016,5.049999969853415,4.849999245077862,4.849999245077862
CC1=CC(=C(C=C1)C)N(CC(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC=C3)S(=O)(=O)C,,5.450000476425332,4.59999938302362,5.700000503883016
CN(CC1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)OCC(=O)N3CCOCC3,,4.849999245077862,,
COC1=C(C(=CC(=C1)C(=O)NCC2=CC=CC3=CC=CC=C32)Cl)OC,5.0,,,5.0
C1=CC=NC(=C1)SC2=CC(=CC(=C2)[N+](=O)[O-])NC(=O)C3=CC=C(C=C3)Cl,5.59999938302362,5.800000874803203,5.049999969853415,5.100000128334196
COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,5.499999678657065,5.849999245077863,,
CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=C(SC=C4)C(=O)OC,4.849999245077862,5.40000018605658,,
COC1=C(C=C(C=C1)C2=CSC(=N2)NC(=O)CCN3C=NC4=CC=CC=C4C3=O)OC,,6.0,,4.949999401714239
CC1=CC(=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=C(SC=C4)C(=O)OC)C,,5.650000220873455,,5.149999867728904
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C3=CC=CC=C3NS(=O)(=O)C4=CC=C(C=C4)C,,6.700000503883016,,
C1=CC=C(C=C1)NC(=O)NNC(=O)COC2=C(C3=CC=CC=C3C=C2)Br,5.250000251143582,,,4.849999245077862
C1=CC=C(C=C1)NC(=O)NNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC(=C(C=C4)Cl)Cl,5.450000476425332,5.349999603463148,,
COC(=O)C1=C(SC2=C1CCC2)NC(=O)CN3C=C(C=N3)[N+](=O)[O-],5.899998417198648,5.450000476425332,,4.849999245077862
C1=CC=C(C=C1)NN2C(=O)C3=CC=CC=C3C2=O,4.899998417198648,,,
CC1=CC(=C(C=C1)C)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=C(SC=C4)C(=O)OC,5.59999938302362,,,5.349999603463148
CC1=CC(=CC=C1)NC(=O)NNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4Cl,,5.800000874803203,,5.40000018605658
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)OC)OC,5.0,,,
C1=CC=C(C=C1)CNC(=O)C2=CC=CC(=C2)COC3=CC(=CC=C3)Cl,4.749999855918706,4.749999855918706,,
CC1=CC=CC=C1OCC(=O)NC(=S)NC2=CC=C(C=C2)S(=O)(=O)NC3CCCCC3,,5.300000202445418,,
CCC1=CC(=C(C=C1)OCC(=O)NC(=S)NC2=C(C=C(C=C2)C)C)Br,5.349999603463148,6.200000237109354,,
CCC1=CC(=C(C=C1)OCC(=O)NC(=S)NC2=CC=C(C=C2)F)Br,5.499999678657065,,,
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)O,5.59999938302362,,5.200000237109354,4.800000874803203
CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CS3,,6.0,,5.650000220873455
CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)NC(=S)NC(=O)CC2=CC=C(C=C2)OC,,5.049999969853415,,5.200000237109354
CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)NC(=O)NC2CCCCC2,,4.700000503883016,,4.700000503883016
CC1=C(C(=NN1CC(=O)NCC2=CC=CS2)[N+](=O)[O-])Br,,,5.300000202445418,
C1CCN(CC1)C2=NC(=NC(=N2)N3CCN(CC3)CCO)N4CCCCC4,,,,4.849999245077862
C1=CC=C(C(=C1)C(=O)NC2=CC(=CC=C2)NC(=S)NC(=O)COC3=CC=CC=C3Cl)Cl,5.749999855918706,6.100000128334196,,
COC1=CC=C(C=C1)NC(=O)CN2C3=CC=CC4=C3C(=CC=C4)S2(=O)=O,5.499999678657065,,,5.349999603463148
CCOC1=C(C(=CC(=C1)/C=C\2/C(=O)OC(=N2)C)Br)OCC(=O)OC,4.749999855918706,,,5.0
CCOC1=C(C(=CC(=C1)CNC2=CC=C(C=C2)OC)Br)OCC(=O)NC(C)(C)C,4.949999401714239,,,4.800000874803203
CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3S2)NC(=O)C4=C(C=CC(=C4)N5C=NN=C5)Cl,,5.59999938302362,,
COC1=CC=C(C=C1)OCC(=O)NC2=C(C=C(C=C2)Cl)C(=O)C3=CC=CC=C3,5.450000476425332,5.700000503883016,,5.650000220873455
COC1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)Cl)OC(=O)C3=CC=C(C=C3)OC,5.0,5.40000018605658,,4.650000220873455
CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC3=NC(=CC(=N3)OC)OC,4.849999245077862,4.899998417198648,,4.849999245077862
CC1=CC(=CC=C1)OC(=O)C2=CC=CC=C2OC3=NC(=CC(=N3)OC)OC,5.200000237109354,,,4.749999855918706
COC1=CC(=NC(=N1)OC2=CC=CC=C2C(=O)OC3=CC=C(C=C3)Cl)OC,4.949999401714239,4.899998417198648,,
