endpoint,fold,SMILES,observed,predicted,is_challenge
cyp2c9,2,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,4.013040405,5.184421,True
cyp2c9,2,C=CCC1(NC(=O)c2nn[nH]c2-c2ccccc2)CCOCC1,3.847761602,4.3761587,True
cyp2c9,2,CC(=O)N1CCCC(C(=O)Nc2cc(C(F)(F)F)n(C)n2)C1,3.701444767,3.7439494,True
cyp2c9,2,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NC2CCN(c3ccccc3F)C2)c1,4.584069432,4.414911,True
cyp2c9,2,CC(=O)Nc1ccc(-c2ccc(S(=O)(=O)NCc3cc4n(n3)CCCO4)cc2)cc1,4.367487787,5.3809915,True
cyp2c9,2,CC(=O)Nc1cccc2c1CCN(C(=O)C(C)n1cnc3c(N)ncnc31)C2,2.819178187,3.6192288,True
cyp2c9,2,CC(C)(C(=O)N1CCC(c2cc(O)[nH]n2)C1)c1ccccc1,4.432133955,4.6112514,True
cyp2c9,2,CC(C)(C(=O)N1CCCC(CO)(Cc2ccccc2)C1)n1cccn1,4.703555175,4.288359,True
cyp2c9,2,CC(C)(C)c1coc(CNC(=O)N[C@H]2C[C@@H]2c2ccc(F)cc2F)n1,4.829916615,4.691306,True
cyp2c9,2,CC(C)(CNC(=O)NC1CC(=O)N(C2CC2)C1)c1ccc2c(c1)OCCO2,3.720009605,4.5909967,True
cyp2c9,2,CC(C)(NC(N)=O)c1cn(Cc2nc(-c3c(F)cccc3F)cs2)nn1,4.160295888,4.4525137,True
cyp2c9,2,CC(C)C1(C(=O)N2CCN(c3ccc4nncn4n3)CC2)COC1,3.765435848,3.802526,True
cyp2c9,2,CC(C)CC1(CO)CCCN1C(=O)NCC(C)(C)c1cccs1,4.939769743,4.431517,True
cyp2c9,2,CC(C)CC1C(=O)NCCN1S(=O)(=O)c1c[nH]c2ncccc12,3.614555483,4.3936205,True
cyp2c9,2,CC(C)CCOc1ccc(S(=O)(=O)N2CC(=O)Nc3ccccc32)cc1,5.617345842,5.0477405,True
cyp2c9,2,CC(C)CCn1ccc(NC(=O)NCC2CCC3(CCCC3)O2)n1,4.63700587,4.5000668,True
cyp2c9,2,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,5.211837372,4.87483,True
cyp2c9,2,CC(C)Oc1cccc(CN(C)C(=O)c2ccnc(N3CCOCC3)n2)c1,4.620787417,4.434843,True
cyp2c9,2,CC(C)c1ccc2c(c1)[C@@H](NC(=O)c1c[nH]nc1C1CCCNC1)CCO2,4.583366505,4.2359576,True
cyp2c9,2,CC(C)c1cccc(NC(=O)CN2CCC(c3ccn(C)n3)CC2)c1,5.401684545,4.6080256,True
cyp2c9,2,CC(C)n1ccc(CC(=O)N2CCCCC2CS(C)(=O)=O)n1,2.324801003,3.262938,True
cyp2c9,2,CC(C)n1nccc1C(=O)NCC1CCOc2ccccc21,4.167401557,4.423712,True
cyp2c9,2,CC(C1Cc2ccccc2O1)N(C)C(=O)Nc1ccncc1,6.100596402,5.1197762,True
cyp2c9,2,CC(C1Cc2ccccc2O1)N(C)C(=O)c1ccc(F)c(S(N)(=O)=O)c1,4.462325437,4.7340345,True
cyp2c9,2,CC(O)Cc1cn(C2CCC(NC(=O)c3cnn(C)c3Cc3ccccc3)CC2)nn1,3.01922477,4.625044,True
cyp2c9,2,CC(c1cccc(C#N)c1)N1CCN(C(=O)NC2CCCCC2)CC1,4.079999642,4.764687,True
cyp2c9,2,CC(c1ccccc1)N1CC(C(=O)NS(=O)(=O)c2ccc3c(c2)CCCC3)CC1=O,4.127431312,5.1876807,True
cyp2c9,2,CC(c1nnnn1C1CC1)N1CCCC(Nc2ccccc2)C1,4.539779715,3.9100323,True
cyp2c9,2,CC1(C)CC(NC(=O)CCn2cnc3ccccc3c2=O)c2ccc(F)cc2O1,4.541609525,4.5968666,True
cyp2c9,2,CC1(C)CC(NC(=O)c2ncoc2-c2ccc3c(c2)OCCO3)c2ccc(F)cc2O1,5.558221168,5.155368,True
cyp2c9,2,CC1(C)CC(Nc2ncnc3c2oc2ccccc23)CCS1(=O)=O,3.951336042,4.298715,True
cyp2c9,2,CC1(C)CN(C(=O)NCCCc2cccc(Cl)c2)CCS1(=O)=O,3.910433075,4.3871937,True
cyp2c9,2,CC1(C)CN(C(CNC(=O)c2cnn3cccnc23)c2ccc(Cl)cc2)CCO1,5.843404918,4.152909,True
cyp2c9,2,CC1(C)CN(S(=O)(=O)CCn2cnnn2)C1c1ccccc1,3.734503483,4.4115763,True
cyp2c9,2,CC1(C)[C@H](NC(=O)Nc2ncn(C(C)(C)C)n2)[C@H]1c1ccccc1,4.90446892,4.6677375,True
cyp2c9,2,CC1(NC(=O)Cc2c[nH]c3ncccc23)CCCc2ccccc21,4.31545587,4.69946,True
cyp2c9,2,CC1(c2ccc(F)cc2)NC(=O)N(CC(=O)NCc2nc3ccccc3s2)C1=O,4.517229793,4.7722955,True
cyp2c9,2,CC1(c2ccccc2)CCN(C(=O)C(Cc2ccccc2)NC(N)=O)C1,4.571889525,4.1950483,True
cyp2c9,2,CC1CC(c2cccc(F)c2)N(C(=O)Nc2cnns2)C1,4.630324435,5.246238,True
cyp2c9,2,CC1Cc2ccccc2N1C(=O)CN1CCCC(S(N)(=O)=O)C1,3.290749155,3.7866268,True
cyp2c9,2,CC1Oc2c(cccc2C(=O)NC2COc3ccccc3C2)NC1=O,4.775703208,4.580186,True
cyp2c9,2,CCC(C(=O)NC(CNS(=O)(=O)c1cnn(C)c1)c1ccccc1)c1c(C)noc1C,4.240203798,4.349266,True
cyp2c9,2,CCC(C)(CC(=O)O)NC(=O)c1c(Cl)c2ccccc2n1C,3.80193069,3.333363,True
cyp2c9,2,CCC(C)n1ccc(NC(=O)Cc2cnn(Cc3ccccc3)c2)n1,4.363811735,4.978634,True
cyp2c9,2,CCC1(Cn2cc(C(=O)Nc3c[nH]c4ccccc34)nn2)COC1,4.121854577,4.3543158,True
cyp2c9,2,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,5.431467965,5.6835394,True
cyp2c9,2,CCC1CN(C(=O)c2cnn3cccc(OC)c23)c2ccccc2O1,4.673295933,4.689192,True
cyp2c9,2,CCCCCCCC/C=C\CCCCCCCC(=O)O,4.5338679,3.530796,True
cyp2c9,2,CCCOc1ccc2[nH]cc(CCNC(=O)c3cncc4[nH]ccc34)c2c1,5.051713033,5.80079,True
cyp2c9,2,CCCOc1cccc(-c2nc3cccc(F)c3c(=O)[nH]2)c1,4.033609225,4.8281302,True
cyp2c9,2,CCCn1cc(CN2CCCN(c3ncnc4scc(C)c34)CC2)cn1,4.57430423,4.4818416,True
cyp2c9,2,CCN(C)c1ccccc1Cn1c(=O)[nH]c2ccccc2c1=O,5.096937387,4.6001744,True
cyp2c9,2,CCN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1ccncn1,3.737686862,4.1873116,True
cyp2c9,2,CCN1CCCc2cc(-c3nc4cc(S(N)(=O)=O)ccc4n3C)ccc21,4.63661053,3.9231656,True
cyp2c9,2,CCNC(=O)c1cccc(NC(=O)CN2CCN(c3cnn(C)c3)CC2)c1,4.138669045,3.9879818,True
cyp2c9,2,CCNS(=O)(=O)c1ccc2c(c1)N(C(=O)C1CCc3cccnc31)CC2,5.100281912,4.5927043,True
cyp2c9,2,CCNc1ccc(NC(=O)C(F)(F)Cc2c(C)[nH]c3ccccc23)cn1,5.409001743,5.2585897,True
cyp2c9,2,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,5.846211473,4.954289,True
cyp2c9,2,CCOC1CC(CC(=O)N2CCCCC2Cc2ccc(O)cc2)C1,4.047274208,4.5973196,True
cyp2c9,2,CCOc1ccc(S(=O)(=O)Nc2c(C)cccc2CC)cc1OCC,5.410899278,5.2282224,True
cyp2c9,2,CCOc1nc(C)ccc1C(=O)NCc1noc(-c2ccccc2)c1C,5.398325397,5.34682,True
cyp2c9,2,CCc1[nH]ccc1C(=O)Nc1ccc(-n2ccnc2)cc1,6.556153238,5.333083,True
cyp2c9,2,CCc1cc(NC(=O)c2coc3ccc(OC)cc23)n(C)n1,4.963618288,4.225218,True
cyp2c9,2,CCc1ccc(C(=O)N2CCN(S(=O)(=O)c3ccccc3OC(F)F)CC2)cc1,5.164130532,5.1378975,True
cyp2c9,2,CCc1cnc(NC(=O)N2CCc3cc(OC)c(OC)cc3C2)s1,4.696315893,4.966902,True
cyp2c9,2,CCc1nc(CC(=O)N2CCC(c3ncc(C)s3)CC2)cs1,4.514549963,4.7357097,True
cyp2c9,2,CCc1nc2c(C(=O)N3CCOc4c(C)cc(C)cc43)ccnc2[nH]1,4.705215332,4.523443,True
cyp2c9,2,CCc1nc2n(n1)CCCC2NC(=O)N1CCC(c2nccs2)CC1,2.869953317,3.9244375,True
cyp2c9,2,CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC,4.632911925,4.457326,True
cyp2c9,2,CCn1nc(C)c(C(=O)OCc2nc(-c3c(F)cccc3F)cs2)c1C,5.766372338,4.83639,True
cyp2c9,2,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.12327397,4.9177294,True
cyp2c9,2,CN(C)S(=O)(=O)c1cccc(NC(=O)CN2C(=O)NC3(CCCc4ccccc43)C2=O)c1,6.86453859,4.760046,True
cyp2c9,2,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,4.7204408,4.196619,True
cyp2c9,2,CN(CCc1ccncc1)C(=O)C1NCCOc2ccccc21,4.43455903,5.26759,True
cyp2c9,2,CN1C(=O)CCc2cc(NCc3ccc(OC(F)F)cc3)ccc21,5.147778683,4.789375,True
cyp2c9,2,CN1CCCN(c2ccc(-c3noc(C4CC5C=CC4C5)n3)cn2)CC1,4.343554605,4.6126757,True
cyp2c9,2,CN1CCN(C(=O)Cc2cccc(NC(=O)c3cc(C4CC4)[nH]n3)c2)CC1,4.326239317,3.4408684,True
cyp2c9,2,CNC(=O)CCC(=O)Nc1nc2cc3c(cc2s1)OCCO3,4.101973017,3.9506273,True
cyp2c9,2,CNC(=O)c1ccc(CN(C)C(=O)NCc2ccccc2-n2ccnc2)cc1,4.982172585,5.1708193,True
cyp2c9,2,COC(=O)[C@@H](Cc1c[nH]cn1)NS(=O)(=O)c1ccc(C)c(C)c1,4.616034257,5.0302415,True
cyp2c9,2,COC(=O)c1sccc1C(=O)N1CC(c2ccccc2)(C(C)C)C1,4.720976613,4.857701,True
cyp2c9,2,COCC#CCn1cnc2cc(-c3ccc(OC)cc3)sc2c1=O,5.525399845,5.13168,True
cyp2c9,2,COCC1(O)CN(S(=O)(=O)c2ccc3c(c2)CC(C)(C)O3)C1,4.370210617,3.9701755,True
