endpoint,fold,SMILES,observed,predicted,is_challenge
cyp2d6,2,C1=C(c2c[nH]c3ncccc23)CCN(Cc2cn(Cc3ccccc3)nc2-c2cccnc2)C1,5.381651935,5.34253,True
cyp2d6,2,C1=CC2(CCCN(c3ccc4nccnc4n3)C2)Oc2ccccc21,4.345175722,4.584693,True
cyp2d6,2,C=C(C)Cn1c(-c2cnccn2)nnc1N1CCC(C)(COC)CC1,4.303242915,4.8023047,True
cyp2d6,2,C=C[C@@H]1OCC[C@H]1NC(=O)c1cnn(CC(C)C)c1C(F)F,4.750360095,5.289814,True
cyp2d6,2,CC#CCCN1CCC(Cc2nc(-c3ccc(F)cn3)no2)CC1,4.969772243,4.7485256,True
cyp2d6,2,CC(=O)N1CC(C(=O)N2CCc3cc(Cl)cc(Cl)c3C2C)Oc2ccccc21,4.65184998,4.658058,True
cyp2d6,2,CC(C(=O)Nc1ccc(Cc2ccncc2)cc1)n1cccn1,5.374398307,5.0020413,True
cyp2d6,2,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,6.761317538,5.5163527,True
cyp2d6,2,CC(C)(C)NS(=O)(=O)NC(=O)C(C)(C)c1cccc(C#N)c1,2.657355235,4.8959384,True
cyp2d6,2,CC(C)(C)NS(=O)(=O)c1cccc(NC(=O)c2cc(=O)c3cc(O)ccc3o2)c1,4.045335458,4.4146376,True
cyp2d6,2,CC(C)(C)OC(=O)N1CC2(CCNCC2)c2ccccc21,5.07129447,5.162414,True
cyp2d6,2,CC(C)(C)OC(=O)N1C[C@@H]2CCCN(C(=O)Nc3ccncc3)[C@@H]2C1,4.43895606,4.734672,True
cyp2d6,2,CC(C)(C)c1ccc(C(=O)N2CSCC2C(=O)Nc2ccncc2)cc1,4.6207381,4.656826,True
cyp2d6,2,CC(C)(CC(=O)OCC1=Nc2ccccc2S(=O)(=O)N1)Cc1ccc(Cl)cc1,4.71568365,4.41666,True
cyp2d6,2,CC(C)(CNC(=O)c1ccnc2ccncc12)N1CCc2ccccc2C1,4.879640272,5.069402,True
cyp2d6,2,CC(C)(NC(N)=O)c1cn(Cc2nc(-c3c(F)cccc3F)cs2)nn1,5.481127608,3.7687306,True
cyp2d6,2,CC(C)C1CCC(CNCc2nnc(C3CCOCC3)[nH]2)CC1,4.27060501,4.806342,True
cyp2d6,2,CC(C)CC1(CO)CCCN1C(=O)NCC(C)(C)c1cccs1,4.146567835,4.7184343,True
cyp2d6,2,CC(C)CN1CCOC(CNC(=O)NC(C)C2CCC(F)(F)CC2)C1,4.52202745,4.3817706,True
cyp2d6,2,CC(C)Cc1ccccc1CNC(=O)Nc1ccc(C(=O)N(C)C)cc1,4.423673192,5.055822,True
cyp2d6,2,CC(C)Cn1c(-c2cccnc2)nnc1N1CCN(C(C)C)CC1,4.230721595,4.8065577,True
cyp2d6,2,CC(C)Cn1ccnc1NC(=O)c1cc2cccn2cn1,4.174670962,5.0372915,True
cyp2d6,2,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,4.753404863,4.6660485,True
cyp2d6,2,CC(C)NCC(O)c1ccccc1Cl,5.448363535,5.019928,True
cyp2d6,2,CC(C)Nc1ccc(Nc2ccccc2)cc1,4.182144668,4.586481,True
cyp2d6,2,CC(C)Oc1ccc2c(NCc3ccc4[nH]c(=O)[nH]c4c3)ccnc2c1,5.162601472,5.296792,True
cyp2d6,2,CC(C)c1[nH]ccc1C(=O)NC1COc2c1ccc(Cl)c2Cl,2.286661473,4.8160133,True
cyp2d6,2,CC(C)c1ccc2c(c1)C(NC(=O)N1CCCC(c3ncc[nH]3)C1)CC2,4.20283119,4.790309,True
cyp2d6,2,CC(C)c1ccc2c(c1)[C@@H](NC(=O)c1c[nH]nc1C1CCCNC1)CCO2,4.977149855,5.2161484,True
cyp2d6,2,CC(C)c1nccn1CCNC(=O)c1ccc(-c2ccc(F)cc2)cc1F,4.25015913,4.728195,True
cyp2d6,2,CC(C)c1nsc(CN2CC34CCCCC3(CN(C)C4)C2)n1,5.033046365,5.305731,True
cyp2d6,2,CC(C)n1ccc(CN2CCCNC(=O)C2Cc2ccccc2)n1,3.32377182,5.1210113,True
cyp2d6,2,CC(C)n1ncc2c(=O)n(CC(=O)N3CCc4sccc4C3)cnc21,4.737068955,4.899487,True
cyp2d6,2,CC(C)n1ncc2cc(C(=O)OCC(=O)NCCOc3ccc4c(c3)OCO4)cnc21,4.753949513,4.1488943,True
cyp2d6,2,CC(C1Cc2ccccc2O1)N(C)C(=O)Nc1ccncc1,5.471543947,4.9619255,True
cyp2d6,2,CC(CC(=O)NCc1ccc(C(=O)Nc2ccncc2)cc1)C1CCCCC1,5.8201217,5.4411244,True
cyp2d6,2,CC(CNc1nc(-c2ccncc2)nc2ccccc12)S(C)(=O)=O,5.144033692,4.6006346,True
cyp2d6,2,CC(CNc1nccc(C(F)(F)F)n1)CN1CCOCC1,4.583397205,5.303155,True
cyp2d6,2,CC(NC(=O)C1=Cc2ccccc2OC1)c1ccccc1,5.1156738,3.558467,True
cyp2d6,2,CC(NC(=O)CC(C)(C)C)C(=O)NCC1CCN(c2ccc(F)c(F)c2)C1,4.639137015,4.6767173,True
cyp2d6,2,CC(O)(Cn1ccccc1=O)C(=O)N1CCc2ccc(Cl)cc2C1,2.498528228,4.4717846,True
cyp2d6,2,CC(Oc1ccccc1Cl)C(=O)NC1CCN(C(=O)c2ccncc2)CC1,4.382508442,4.9404836,True
cyp2d6,2,CC1(C)C(NCCNS(=O)(=O)c2ccccc2)[C@H]2CCC[C@H]21,6.357498732,6.417641,True
cyp2d6,2,CC1(C)OCC(CNC(=O)c2ccccc2SCC(=O)Nc2ccc3c(c2)OCO3)O1,4.437198148,4.585516,True
cyp2d6,2,CC1(CCCO)CCCN1Cc1coc(-c2ccc(F)c(F)c2)n1,4.577813117,5.339164,True
cyp2d6,2,CC1(Cc2cccc(Br)c2)CCCN1c1ccnc(C#N)n1,4.52971254,4.432463,True
cyp2d6,2,CC1(O)CCCN(CCCOc2ccc3ccccc3c2)C1,4.397598207,5.0552144,True
cyp2d6,2,CC1CC2CCC(C(=O)NCc3nc(C(C)C)cs3)CN2C1,4.435923365,4.869593,True
cyp2d6,2,CC1CCC(Oc2nccc(N3CCNC(C)(C)C3)n2)CC1,4.76647041,4.625799,True
cyp2d6,2,CC1CCN(C(=O)NCC2CCN(c3ccccc3Cl)C2)CC1,4.539483525,4.626485,True
cyp2d6,2,CC1CCN(C(=O)[C@@H](O)Cc2ccccc2)CC1n1ccnc1,4.35024091,5.1459637,True
cyp2d6,2,CC1CCNC(C(=O)NC(C)c2noc(-c3ccc(Cl)cc3)n2)C1,4.53185207,5.0383096,True
cyp2d6,2,CC1CCc2n[nH]cc2C1c1nc(C2COc3ccccc3O2)no1,4.43539628,4.5143366,True
cyp2d6,2,CC1CN(CCCNC(=O)c2ccc(F)c(C#N)c2)CC(C)O1,4.497099885,5.6101217,True
cyp2d6,2,CC1CN(Cc2cn(C)nc2-c2ccc(C#N)cc2)C1c1ccccc1,5.43523152,4.62535,True
cyp2d6,2,CCC(NC(CO)Cc1ccc(F)cc1)c1ccccc1F,5.95129644,5.8874216,True
cyp2d6,2,CCCC(=O)Nc1ccc(CNC(=O)CN2CC3CN4CCCCC4C3C2)cc1,5.277009927,4.7244377,True
cyp2d6,2,CCCC(NCc1cn(CCOC)c(=O)[nH]c1=O)C1CCC1,5.814936653,5.138947,True
cyp2d6,2,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,4.998633875,5.134271,True
cyp2d6,2,CCCOc1ccc2[nH]cc(CCNC(=O)c3cncc4[nH]ccc34)c2c1,4.399624023,4.897185,True
cyp2d6,2,CCCc1n[nH]c2ccc(C(=O)NCCN3C(=O)COc4ccccc43)cc12,3.568499173,4.800655,True
cyp2d6,2,CCN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)c1cnn(-c2ccccc2)n1,2.034937938,3.8142662,True
cyp2d6,2,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,4.610618505,5.07603,True
cyp2d6,2,CCN(CC)c1ccc(CNC(=O)N2CCC(C)C(n3ccnc3)C2)cn1,5.464633283,4.7326875,True
cyp2d6,2,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.502435625,5.3580217,True
cyp2d6,2,CCN(Cc1cccc(-c2ccncc2)c1)C(=O)Cn1nnc2ccccc21,4.750066065,4.886444,True
cyp2d6,2,CCN1CCCc2cc(-c3nc4cc(S(N)(=O)=O)ccc4n3C)ccc21,1.996967245,4.745252,True
cyp2d6,2,CCN1CCOC(C(=O)Nc2cccc(C(=O)Nc3ccncc3)c2)C1,4.37545704,5.2644067,True
cyp2d6,2,CCNc1nc(C(=O)N2CCc3cc(Cl)ccc3C2)cs1,4.673633565,5.076937,True
cyp2d6,2,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,4.523267142,3.315596,True
cyp2d6,2,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,4.892280237,5.0707073,True
cyp2d6,2,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,2.277052242,4.544429,True
cyp2d6,2,CCOC1CC(CNc2nc3cccc(F)c3n2C)(N2CCOCC2)C1,4.887505255,5.2993484,True
cyp2d6,2,CCOc1ccc(NC(=O)NC2CCc3nnc(C)n3C2)cc1OC,4.220513683,4.6681275,True
cyp2d6,2,CCOc1ncccc1C(=O)Nc1cc(S(=O)(=O)Nc2cccc(Cl)c2)ccc1O,4.611851455,4.2951717,True
cyp2d6,2,CCSC1(C(=O)NC2Cc3ccc(Br)cc3NC2=O)CC1,4.396423975,4.436297,True
cyp2d6,2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.251968837,5.274657,True
cyp2d6,2,CCc1[nH]ccc1C(=O)Nc1ccc(-n2ccnc2)cc1,6.269737023,6.452781,True
cyp2d6,2,CCc1ccc(NC(=O)CN2CC(=O)N(C)c3ccccc3C2)cc1,5.594462638,4.707291,True
cyp2d6,2,CCc1nc2n(n1)CCCC2NC(=O)N1CCC(c2nccs2)CC1,3.318434083,4.0927916,True
cyp2d6,2,CCc1nccc(N(Cc2cn(C(C)C)nn2)CC2C=CCC2)n1,5.294942247,4.5454607,True
cyp2d6,2,CCn1c(=O)n(CC(=O)NCc2ccc(-n3ccnc3)nc2)c2ccccc21,4.55688638,5.322544,True
cyp2d6,2,CCn1nnc2c(=O)n(CC(O)Cc3ccccc3C(F)(F)F)cnc21,3.963849222,5.3197017,True
cyp2d6,2,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,4.802958643,4.505521,True
cyp2d6,2,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.835926223,6.236723,True
cyp2d6,2,CN(C)CCN1CCC(NC(=O)N[C@H]2CCC[C@H]2n2ccnc2)CC1,4.48479351,4.3670177,True
cyp2d6,2,CN(C)S(=O)(=O)c1cccc(NC(=O)CN2C(=O)NC3(CCCc4ccccc43)C2=O)c1,3.58770821,3.4672813,True
cyp2d6,2,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,6.411201408,5.665514,True
cyp2d6,2,CN(CC1CN(c2nc(-c3ccccc3)c3ccccc3n2)CCO1)c1cccnn1,6.40053131,4.7913356,True
cyp2d6,2,CN(CCc1ccncc1)C(=O)C1NCCOc2ccccc21,4.532522875,5.5076103,True
cyp2d6,2,CN(Cc1nc(-c2c(F)cccc2F)cs1)CC1(O)CCC1,5.507658355,4.429488,True
cyp2d6,2,CN(c1cccnn1)C1CCN(CCC2(O)CCC2)CC1,5.463469922,5.0274153,True
cyp2d6,2,CN1C(=O)CCc2cc(NCc3ccc(OC(F)F)cc3)ccc21,3.63543555,5.198119,True
cyp2d6,2,CN1CCCCC(CNC(=O)c2cn(-c3cccc(Cl)c3F)nn2)C1,5.355084695,5.4872317,True
cyp2d6,2,CN1CCCCC1C(=O)Nc1ccc(-c2csc(N)n2)cc1,5.310218017,4.8733664,True
cyp2d6,2,CN1CCN(C(=O)Cc2cccc(NC(=O)c3cc(C4CC4)[nH]n3)c2)CC1,4.527259615,3.822178,True
