endpoint,fold,SMILES,observed,predicted,is_challenge
cyp2c9,2,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,4.013040405,4.7420287,True
cyp2c9,2,C=CCC1(NC(=O)c2nn[nH]c2-c2ccccc2)CCOCC1,3.847761602,3.6615129,True
cyp2c9,2,CC(=O)N1CCCC(C(=O)Nc2cc(C(F)(F)F)n(C)n2)C1,3.701444767,3.4044068,True
cyp2c9,2,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NC2CCN(c3ccccc3F)C2)c1,4.584069432,4.328909,True
cyp2c9,2,CC(=O)Nc1ccc(-c2ccc(S(=O)(=O)NCc3cc4n(n3)CCCO4)cc2)cc1,4.367487787,4.4513993,True
cyp2c9,2,CC(=O)Nc1cccc2c1CCN(C(=O)C(C)n1cnc3c(N)ncnc31)C2,2.819178187,3.903591,True
cyp2c9,2,CC(C)(C(=O)N1CCC(c2cc(O)[nH]n2)C1)c1ccccc1,4.432133955,3.6396804,True
cyp2c9,2,CC(C)(C(=O)N1CCCC(CO)(Cc2ccccc2)C1)n1cccn1,4.703555175,4.313268,True
cyp2c9,2,CC(C)(C)c1coc(CNC(=O)N[C@H]2C[C@@H]2c2ccc(F)cc2F)n1,4.829916615,4.8147993,True
cyp2c9,2,CC(C)(CNC(=O)NC1CC(=O)N(C2CC2)C1)c1ccc2c(c1)OCCO2,3.720009605,4.769284,True
cyp2c9,2,CC(C)(NC(N)=O)c1cn(Cc2nc(-c3c(F)cccc3F)cs2)nn1,4.160295888,4.472782,True
cyp2c9,2,CC(C)C1(C(=O)N2CCN(c3ccc4nncn4n3)CC2)COC1,3.765435848,3.6692603,True
cyp2c9,2,CC(C)CC1(CO)CCCN1C(=O)NCC(C)(C)c1cccs1,4.939769743,4.047943,True
cyp2c9,2,CC(C)CC1C(=O)NCCN1S(=O)(=O)c1c[nH]c2ncccc12,3.614555483,4.124516,True
cyp2c9,2,CC(C)CCOc1ccc(S(=O)(=O)N2CC(=O)Nc3ccccc32)cc1,5.617345842,4.8758683,True
cyp2c9,2,CC(C)CCn1ccc(NC(=O)NCC2CCC3(CCCC3)O2)n1,4.63700587,4.581477,True
cyp2c9,2,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,5.211837372,4.3693295,True
cyp2c9,2,CC(C)Oc1cccc(CN(C)C(=O)c2ccnc(N3CCOCC3)n2)c1,4.620787417,4.5115075,True
cyp2c9,2,CC(C)c1ccc2c(c1)[C@@H](NC(=O)c1c[nH]nc1C1CCCNC1)CCO2,4.583366505,4.229821,True
cyp2c9,2,CC(C)c1cccc(NC(=O)CN2CCC(c3ccn(C)n3)CC2)c1,5.401684545,4.4989696,True
cyp2c9,2,CC(C)n1ccc(CC(=O)N2CCCCC2CS(C)(=O)=O)n1,2.324801003,3.4653056,True
cyp2c9,2,CC(C)n1nccc1C(=O)NCC1CCOc2ccccc21,4.167401557,4.2926908,True
cyp2c9,2,CC(C1Cc2ccccc2O1)N(C)C(=O)Nc1ccncc1,6.100596402,5.608617,True
cyp2c9,2,CC(C1Cc2ccccc2O1)N(C)C(=O)c1ccc(F)c(S(N)(=O)=O)c1,4.462325437,3.945065,True
cyp2c9,2,CC(O)Cc1cn(C2CCC(NC(=O)c3cnn(C)c3Cc3ccccc3)CC2)nn1,3.01922477,4.308712,True
cyp2c9,2,CC(c1cccc(C#N)c1)N1CCN(C(=O)NC2CCCCC2)CC1,4.079999642,4.7537074,True
cyp2c9,2,CC(c1ccccc1)N1CC(C(=O)NS(=O)(=O)c2ccc3c(c2)CCCC3)CC1=O,4.127431312,4.6488914,True
cyp2c9,2,CC(c1nnnn1C1CC1)N1CCCC(Nc2ccccc2)C1,4.539779715,4.3241,True
cyp2c9,2,CC1(C)CC(NC(=O)CCn2cnc3ccccc3c2=O)c2ccc(F)cc2O1,4.541609525,4.510725,True
cyp2c9,2,CC1(C)CC(NC(=O)c2ncoc2-c2ccc3c(c2)OCCO3)c2ccc(F)cc2O1,5.558221168,4.7944565,True
cyp2c9,2,CC1(C)CC(Nc2ncnc3c2oc2ccccc23)CCS1(=O)=O,3.951336042,4.68466,True
cyp2c9,2,CC1(C)CN(C(=O)NCCCc2cccc(Cl)c2)CCS1(=O)=O,3.910433075,4.2463627,True
cyp2c9,2,CC1(C)CN(C(CNC(=O)c2cnn3cccnc23)c2ccc(Cl)cc2)CCO1,5.843404918,4.4216814,True
cyp2c9,2,CC1(C)CN(S(=O)(=O)CCn2cnnn2)C1c1ccccc1,3.734503483,4.2327604,True
cyp2c9,2,CC1(C)[C@H](NC(=O)Nc2ncn(C(C)(C)C)n2)[C@H]1c1ccccc1,4.90446892,4.7206573,True
cyp2c9,2,CC1(NC(=O)Cc2c[nH]c3ncccc23)CCCc2ccccc21,4.31545587,4.670924,True
