endpoint,fold,SMILES,observed,predicted,is_challenge
cyp3a4,1,Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,3.67145394,4.547626,True
cyp3a4,1,Brc1ccc2[nH]c(-c3noc([C@@H]4C[C@H]5CC[C@@H]4O5)n3)cc2c1,5.15852155,4.708008,True
cyp3a4,1,C=CC(C)(CC)C(=O)NCc1nn2c(c1C(=O)OC)CCCC2,4.19543617,4.0718985,True
cyp3a4,1,C=CCC1(C(=O)NCC(C)C#N)CCN(C(=O)OC(C)(C)C)CC1,4.26554637,4.6410685,True
cyp3a4,1,CC(=O)N1CC2(CCN(C(=O)CCc3cc(F)ccc3F)CC2)[C@H]2COC[C@H]21,2.915929035,3.182232,True
cyp3a4,1,CC(=O)N1CC2(CCN(C(=O)c3ccc4nc(C)sc4c3)CC2)[C@H]2COC[C@H]21,2.447324098,3.2671766,True
cyp3a4,1,CC(=O)N1CCc2ccc(S(=O)(=O)N3CCN(C(=O)CO)CC3)cc21,3.36999116,1.8614879,True
cyp3a4,1,CC(=O)N1C[C@H](O)C[C@@H]1C(=O)Nc1cnn(CC(C)C)c1C1CC1,3.666389928,2.6940703,True
cyp3a4,1,CC(=O)NC1CCN(C(=O)NCCc2nc3c(s2)CCCC3)C1,3.082478023,2.8223095,True
cyp3a4,1,CC(=O)NC[C@H]1CN(CC(=O)N2CCc3ccccc3C2)C[C@@H]1c1cncn1C,4.255873205,3.9694314,True
cyp3a4,1,CC(=O)Nc1cc(S(=O)(=O)NC2CCC(C(N)=O)CC2)ccc1C,3.907509923,3.228748,True
cyp3a4,1,CC(C(=O)NCc1ccc(CC(=O)O)cc1)n1cccn1,2.052655422,2.6849158,True
cyp3a4,1,CC(C)(C(=O)N1CCC(COc2ccccc2)C1)c1cccnc1,5.52949192,4.653628,True
cyp3a4,1,CC(C)(C(N)=O)N1CCN(C(=O)Cn2ncc(=O)c3ccccc32)CC1,3.48504155,2.133141,True
cyp3a4,1,CC(C)(C)NS(=O)(=O)C1(CNc2c(Br)cccc2C#N)CCC1,5.295529767,6.0087643,True
cyp3a4,1,CC(C)(C)NS(=O)(=O)C1(CNc2ccc(Cl)cc2C#N)CCC1,5.151652217,5.4962783,True
cyp3a4,1,CC(C)(C)c1ccc(S(=O)(=O)NCCCN2CCCCCC2=O)s1,4.552659145,3.8974726,True
cyp3a4,1,CC(C)(C)c1coc(CN2CCC(c3c[nH]cn3)CC2)n1,5.006224675,4.166622,True
cyp3a4,1,CC(C)(C)c1nc(-c2nc3cccc(F)c3c(=O)[nH]2)co1,3.486464575,3.5311468,True
cyp3a4,1,CC(C)(C)c1nc(CCNC(=O)C(c2cccc(F)c2)N2CCOCC2)cs1,5.248874218,4.3300557,True
