endpoint,fold,SMILES,observed,predicted,is_challenge
cyp1a2,1,Brc1ccc2[nH]c(-c3noc([C@@H]4C[C@H]5CC[C@@H]4O5)n3)cc2c1,5.744338573,4.5650144,True
cyp1a2,1,C#CCN(Cc1ccccc1)C(=O)C(C)NC(=O)c1cccc(Cl)c1Cl,5.215246547,4.6485653,True
cyp1a2,1,C#CCNC(=O)CSc1nnc(Nc2ccc(C(C)C)cc2)s1,5.857997395,5.559513,True
cyp1a2,1,C=CCn1cccc1C(=O)NCc1c(C)nn(-c2ccccc2)c1C,3.913808465,4.687846,True
cyp1a2,1,C=C[C@@H]1OCC[C@H]1NC(=O)NCCc1c[nH]c2ccc(C)cc12,4.652445265,3.7169566,True
cyp1a2,1,CC(=O)NC(C)c1nc(C(C)Oc2ccc(Br)cc2Cl)no1,5.582370968,4.1301527,True
cyp1a2,1,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,4.861767925,3.94117,True
cyp1a2,1,CC(C(=O)Nc1cccc(-c2ccn[nH]2)c1)c1ccccc1,5.864576545,6.2948823,True
cyp1a2,1,CC(C(=O)Nc1ccn(-c2ccc(Cl)cc2C#N)n1)n1cncn1,5.22138842,5.113579,True
cyp1a2,1,CC(C)(C)c1nc(-c2nc3cccc(F)c3c(=O)[nH]2)co1,5.641844395,4.778393,True
cyp1a2,1,CC(C)(C)c1nc(C(=O)N2CCC(Cn3cncn3)CC2)cs1,3.927173255,4.6457553,True
cyp1a2,1,CC(C)(CNc1nccc2nccnc12)c1ccncc1,5.769169795,6.0014157,True
cyp1a2,1,CC(C)(NC(=O)C1CCN(c2ccc3nnnn3n2)CC1)c1cccs1,3.676461167,4.275006,True
cyp1a2,1,CC(C)COc1ccc(C2(C(=O)N3CCc4[nH]ncc4C3)CCC2)cc1,3.79530019,4.8133726,True
cyp1a2,1,CC(C)Cn1cccc(C(=O)Nc2nc3c(s2)CN(C)CC3)c1=O,3.95208176,4.526903,True
cyp1a2,1,CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,5.273967155,5.084831,True
cyp1a2,1,CC(C)c1ccc(-n2cc(O)c(C(=O)N3CCC=C(F)C3)n2)cc1,6.036504125,5.0231657,True
cyp1a2,1,CC(C)c1cccc(Nc2nc(C3COCCO3)cs2)c1,5.676891138,5.274259,True
cyp1a2,1,CC(C)c1nccc(N2CCN(c3cnccn3)C(C)C2)n1,6.007066763,4.7484035,True
cyp1a2,1,CC(C)c1ncsc1C(=O)N1CCC(CCCn2ccnc2)CC1,4.87538144,5.926343,True
cyp1a2,1,CC(C)n1cnc(S(=O)(=O)N2CCOC(C3CCC3)C2)c1,3.945418577,3.5339417,True
cyp1a2,1,CC(CNC(=O)N[C@H]1c2ccccc2C[C@H]1O)c1nc(-c2ccccc2)no1,4.251860225,4.8320045,True
cyp1a2,1,CC(F)(F)c1ccnc(Nc2ccc3[nH]c(C(N)=O)cc3c2)n1,5.656823848,4.2208266,True
cyp1a2,1,CC(NC(=O)c1ccc(C(F)(F)F)cc1N1CCCC1)c1nc[nH]n1,5.661162435,5.338851,True
cyp1a2,1,CC(NC1CCCc2ncc(C(F)(F)F)cc21)c1cccc(C#N)c1,5.244450755,4.522287,True
cyp1a2,1,CC(NCC(C)(O)c1ccccc1)c1cccc(-n2ccnc2)c1,5.4050786,6.1231256,True
cyp1a2,1,CC(Sc1nc2ccccc2s1)C(=O)NCC(=O)OCc1ccccc1,5.833084357,4.810444,True
cyp1a2,1,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc3ccccc3c21,4.66854407,3.5224733,True
cyp1a2,1,CC1(C)CC(C(=O)N2CCCn3nc(-c4ccccc4)nc32)C1,5.15728653,4.812404,True
cyp1a2,1,CC1(C)CN(c2ncnc3c2OCCN3)Cc2cccc(F)c21,5.014127535,4.8237357,True
cyp1a2,1,CC1(C)Cc2cc(-c3cccc4c3CC(=O)N4)ccc2O1,5.319163178,5.0677414,True
cyp1a2,1,CC1(O)CCCN(C(=O)Nc2ccn(-c3cccc(C(F)(F)F)c3)n2)C1,5.492727475,4.5173426,True
cyp1a2,1,CC1CCCC(c2nc(-c3cccc(Cn4ccnc4)c3)no2)C1,7.629790315,5.924577,True
cyp1a2,1,CC1CCc2ccccc2N1C(=O)COc1ccc2c(c1)NC(=O)CC2,4.579245375,3.9024382,True
cyp1a2,1,CC1COc2ccccc2CN1C(=O)c1ccnc(-n2ccnc2)c1,5.96082651,5.8494434,True
cyp1a2,1,CC1OCCC1(C)NC(=O)c1ccc(-c2ccccc2F)o1,5.683443213,4.2647667,True
cyp1a2,1,CC1c2cccn2CCN1C(=O)Cn1nnc2ccccc21,3.434480737,4.595802,True
cyp1a2,1,CCC(CC1CCCC1)c1nc(-c2ccncc2OC)no1,6.312730238,4.6529,True
cyp1a2,1,CCC(CO)NCc1ccc(-c2cccc(C(F)(F)F)c2)o1,6.189261195,5.2533965,True
cyp1a2,1,CCC1CC(c2nc(-c3ccc(-n4ccnc4)cc3)no2)CCO1,7.782581445,4.8281856,True
cyp1a2,1,CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1,5.551056015,4.551685,True
cyp1a2,1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,2.344094297,4.42209,True
cyp1a2,1,CCCCCCCCCCCCCCCC[N+](C)(C)C,4.6823471,4.1675305,True
cyp1a2,1,CCCCCCOC(=O)CCC(=O)CN,5.093239353,4.663173,True
cyp1a2,1,CCCCCNC(=N)NN=Cc1c[nH]c2ccc(OC)cc12,5.385529017,5.3050404,True
cyp1a2,1,CCCCOC(=O)c1ccc(N)cc1,5.63483116,4.8477445,True
cyp1a2,1,CCCCOC(=O)c1ccc(O)cc1,5.78291153,4.856764,True
cyp1a2,1,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,5.753405707,4.516545,True
cyp1a2,1,CCCc1c(-c2nc(CC3(C)CC3(F)F)no2)nnn1CC,5.402288363,4.7130294,True
cyp1a2,1,CCN(C1(C(=O)O)CC1)S(=O)(=O)c1ccc(-n2ccnn2)cc1,3.06206888,3.9412584,True
cyp1a2,1,CCOC(=O)c1cnn2ccc(NC(=O)Cc3ccn(CC)n3)cc12,5.021356355,4.594787,True
cyp1a2,1,CCONC(=O)C(CC)n1nnc(-c2ccc(Cl)cc2)n1,5.236326228,4.886589,True
cyp1a2,1,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1CCOC[C@H]1O,4.469652605,4.692151,True
cyp1a2,1,CCOc1cccnc1C(=O)Nc1ccc(Cl)c(NC(C)=O)c1,5.270082415,5.342218,True
cyp1a2,1,CCOc1cncc(CNc2ccc(C(F)(F)F)cc2)c1,5.72623009,5.5541844,True
cyp1a2,1,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,4.718853295,4.605802,True
cyp1a2,1,CC[C@@H]1C(=O)NCCCN1Cc1nc(-c2cccc(Cl)c2)no1,4.016106385,4.5375595,True
cyp1a2,1,CCc1cnccc1-c1noc(CC(C)c2ccccc2C)n1,5.575110592,5.580911,True
cyp1a2,1,CCc1nc(C)c(C(=O)N2CCC(C(F)(F)F)C3(CCOCC3)C2)o1,2.297180992,2.9350655,True
cyp1a2,1,CCc1nc(CS(=O)(=O)CC(=O)Nc2ccc3c(c2)CCC3)cs1,4.90689459,4.5756946,True
cyp1a2,1,CCc1nc(NCc2nc(-c3ccncc3)no2)c2ccsc2n1,5.208733537,5.6274204,True
cyp1a2,1,CCn1cccc(NC(=O)CC2CC(=O)Nc3ccccc32)c1=O,2.738524978,3.1926966,True
cyp1a2,1,CN(C(=O)c1cccc(OC(F)F)c1)c1nc2ccccc2s1,5.514505087,5.496211,True
cyp1a2,1,CN(C)c1ccccc1-c1ccnc(N2CCNCC2)n1,5.799931155,4.8980875,True
