endpoint,fold,SMILES,observed,predicted,is_challenge
cyp2c9,1,Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,3.74740795,3.7510705,True
cyp2c9,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.231331972,4.781747,True
cyp2c9,1,C=CCSc1ccccc1NC(=O)C(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1,4.681246973,4.542822,True
cyp2c9,1,C=C[C@@H]1OCC[C@H]1NC(=O)NCCc1c[nH]c2ccc(C)cc12,4.42983091,4.1848874,True
cyp2c9,1,CC(=O)NC(C)c1nc(C(C)Oc2ccc(Br)cc2Cl)no1,4.427168987,4.6181445,True
cyp2c9,1,CC(C(=O)NC(N)=O)N1CCCC(Nc2ccccc2)C1,3.857084305,3.0743783,True
cyp2c9,1,CC(C(=O)NCC1CC(=O)N(Cc2ccccc2)C1)c1cn(C)c2ccccc12,4.808916437,4.437575,True
cyp2c9,1,CC(C(=O)Nc1ccc2c(c1)C=CCCC2)n1cnc2c(N)ncnc21,4.707371583,4.6763005,True
cyp2c9,1,CC(C(=O)Nc1cccc(-c2ccn[nH]2)c1)c1ccccc1,5.057958487,5.9883327,True
cyp2c9,1,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,4.703912005,4.6979814,True
cyp2c9,1,CC(C)(C)OC(=O)NC1CCc2ncc(NC(=O)NCC(C)(O)c3ccc(F)cc3F)cc2C1,5.026001208,4.479623,True
cyp2c9,1,CC(C)(C)c1nc(-c2nc3cccc(F)c3c(=O)[nH]2)co1,4.815765433,4.0157576,True
cyp2c9,1,CC(C)(C)c1nc(C(=O)N2CCC(Cn3cncn3)CC2)cs1,4.495757232,4.704474,True
cyp2c9,1,CC(C)(C)n1cc(C(=O)Nc2cccc3c2C(=O)NC3)nn1,4.562186845,4.203356,True
cyp2c9,1,CC(C)(NC(=O)C1CCN(c2ccc3nnnn3n2)CC1)c1cccs1,4.651935355,4.7431483,True
cyp2c9,1,CC(C)C1(c2ccccc2)CN(C(=O)C2CCN(S(N)(=O)=O)CC2)C1,3.81197556,3.8699899,True
cyp2c9,1,CC(C)CCc1ccc(NC(=O)N2Cc3cn[nH]c3CC(C)(C)C2)nc1,4.702331753,4.6647434,True
cyp2c9,1,CC(C)COc1ccc(C2(C(=O)N3CCc4[nH]ncc4C3)CCC2)cc1,5.50988637,4.863364,True
cyp2c9,1,CC(C)N(Cc1nc2ccccc2c(=O)[nH]1)C(=O)Cc1cccc(C(F)(F)F)c1,5.033315338,4.290085,True
cyp2c9,1,CC(C)N1CCC(NS(=O)(=O)c2cnn3ncccc23)C1=O,3.777510063,3.6461296,True
cyp2c9,1,CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,4.06119356,4.412027,True
cyp2c9,1,CC(C)NC(=O)Nc1cccc(C(=O)NC(c2ccccc2)c2nnc[nH]2)c1,4.497818115,4.4766994,True
cyp2c9,1,CC(C)Oc1ccc(NC(=O)c2cccn3c(=O)[nH]nc23)c(Cl)c1,4.36194708,4.747689,True
cyp2c9,1,CC(C)c1ccc(C(CCO)Nc2ccn3ncc(Br)c3n2)cc1,5.380046788,5.141219,True
cyp2c9,1,CC(C)c1nccn1Cc1cccc(NC(=O)NC2CC3CCCC(C2)N3C)c1,3.731912458,3.556736,True
cyp2c9,1,CC(C)c1oncc1NC(=O)c1ccc2nnc(C(F)F)n2c1,3.994174403,4.5667396,True
cyp2c9,1,CC(C)n1cnc(S(=O)(=O)N2CCOC(C3CCC3)C2)c1,3.613834993,4.399628,True
cyp2c9,1,CC(C)n1nnnc1-c1cccc(NC(=O)[C@H]2OCCO[C@H]2C)c1,4.358172748,3.757434,True
cyp2c9,1,CC(NC(=O)N1CCC(Cc2ccccc2)CC1)c1cn[nH]c1,5.155332777,5.5731554,True
cyp2c9,1,CC(NC(=O)NC1CC(=O)N(C2CC2)C1)c1cccc2ccccc12,4.34353939,3.731799,True
cyp2c9,1,CC(NC(=O)[C@H]1CCN[C@@H](C)C1)c1cccc2ccccc12,3.401734545,3.3059962,True
