endpoint,fold,SMILES,observed,predicted,is_challenge
cyp2d6,1,Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,7.08157569,5.5254183,True
cyp2d6,1,Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,5.622023915,5.0700383,True
cyp2d6,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.560219538,5.34149,True
cyp2d6,1,C=CCOc1ccccc1CNC(=O)c1cnn(-c2ccc(=O)[nH]n2)c1C,4.56712387,4.7411633,True
cyp2d6,1,CC(=O)NCCc1ccc(S(=O)(=O)Nc2ccc(-c3cccc(O)c3)cc2)cc1,4.729473042,4.280723,True
cyp2d6,1,CC(=O)Nc1cccc(OCCNC2[C@H]3CCC[C@H]3C2(C)C)c1,6.15405915,5.384737,True
cyp2d6,1,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,5.655250823,6.3613815,True
cyp2d6,1,CC(C)(C)C(CN1CCc2ccccc2C1)NC(=O)CNCC1CC1,4.346709813,5.3980155,True
cyp2d6,1,CC(C)(C)OC(=O)NC1c2ccccc2CC12CCNCC2,5.731684008,4.9641504,True
cyp2d6,1,CC(C)(C)n1nnc(CNc2ccc(-c3cn[nH]c3)cc2)n1,2.35053275,4.717499,True
cyp2d6,1,CC(C)(C)n1nnnc1CNC1(c2ccc(Cl)cc2)CCCCC1,4.211133418,5.3792577,True
cyp2d6,1,CC(C)(NC(=O)C1CCN(c2ccc3nnnn3n2)CC1)c1cccs1,4.025445763,4.3735065,True
cyp2d6,1,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc1cc(=O)oc2cc(O)ccc12,1.96021925,4.5036125,True
cyp2d6,1,CC(C)C1(O)CCC(NCc2ccccc2N2CCN(C)CC2)CC1,4.701132065,5.111029,True
cyp2d6,1,CC(C)CC(=O)Nc1ccc(NCc2cccc3nnn(C)c23)cc1,4.794912433,4.69164,True
cyp2d6,1,CC(C)CCC(C)N1CCCC(n2c(=O)[nH]c3cccnc32)C1,5.563581747,5.069537,True
cyp2d6,1,CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,5.612441365,4.8893,True
cyp2d6,1,CC(C)c1ccc(C(CCO)Nc2ccn3ncc(Br)c3n2)cc1,5.273783733,4.141408,True
cyp2d6,1,CC(C)c1nccc(N2CCC(CO)(Cc3ccc(F)cc3)C2)n1,4.618252147,4.93238,True
cyp2d6,1,CC(C)c1nccc(N2CCN(c3cnccn3)C(C)C2)n1,5.1902151,4.77693,True
cyp2d6,1,CC(C)c1ncsc1C(=O)N1CCC(CCCn2ccnc2)CC1,6.388281633,4.9324703,True
cyp2d6,1,CC(C)n1c(-c2ccc(Oc3cnccn3)cc2)nc2ccccc21,5.280776795,4.707551,True
cyp2d6,1,CC(C)n1nnc(NC(=O)N2CC3(CCC3)C2c2ccccc2)n1,4.840807162,4.41381,True
cyp2d6,1,CC(CNC(=O)c1cc(-c2ccccn2)nc2ccccc12)N(C)C1CC1,2.687034527,4.8874435,True
cyp2d6,1,CC(NC(=O)CN1CCC(CO)CC1)c1ccc(F)c2ccccc12,4.423325173,4.8736014,True
cyp2d6,1,CC(NC(=O)N1CCC(Cc2ccccc2)CC1)c1cn[nH]c1,5.561224163,4.7771077,True
cyp2d6,1,CC(NCC(C)(O)c1ccccc1)c1cccc(-n2ccnc2)c1,5.777608648,6.271041,True
cyp2d6,1,CC(O)(CNC1CCN(C(=O)c2cc(Cl)c[nH]2)CC1)C(F)F,4.808035037,4.808901,True
cyp2d6,1,CC(O)CC1CCN(Cc2ccc(-c3nn[nH]n3)s2)CC1,5.038156475,5.669508,True
cyp2d6,1,CC(O)CN1CCC(CN(C)C(=O)[C@H]2C[C@@H]2c2cccc(Cl)c2)CC1,4.470653097,4.9673753,True
cyp2d6,1,CC(Sc1nc2ccccc2s1)C(=O)NCC(=O)OCc1ccccc1,4.348523065,2.7675824,True
cyp2d6,1,CC(c1ccsc1)N1CCN(C(=O)c2cc3ccccc3c(=O)[nH]2)CC1,4.41372459,4.0379224,True
cyp2d6,1,CC1(C)CC(C)(C(=O)NCc2ccccc2N2CCCC2)CN1,4.308425095,4.861468,True
cyp2d6,1,CC1(C)CC(C)(c2nc(-c3cccc(-n4ccnc4)n3)no2)CN1,5.262383873,5.547834,True
cyp2d6,1,CC1(C)CN(c2nc(-c3ccccn3)nc3sccc23)CCN1,5.322884998,4.899389,True
cyp2d6,1,CC1(Cc2ccc(C(F)F)cc2)CCCN1Cc1nnc2cccnn12,5.311030207,5.201559,True
cyp2d6,1,CC1(Cc2ccccc2)CN(C(=O)Nc2ccc3c(c2)CNCCO3)C1,4.655220685,5.0350785,True
cyp2d6,1,CC1CCC(N(C)C(=O)CN2CCN(c3ccc(F)cn3)CC2)CC1,5.7650655,4.674659,True
cyp2d6,1,CC1CCCC(c2nc(-c3cccc(Cn4ccnc4)c3)no2)C1,6.663492208,5.5755706,True
cyp2d6,1,CC1CCCC1CC(=O)NCCC(O)(c1ncco1)C(F)(F)F,4.370195025,4.5759516,True
cyp2d6,1,CC1CCN(Cc2nc3c(cnn3-c3ccccc3)c(=O)[nH]2)CC1CO,4.957006015,4.8041167,True
cyp2d6,1,CC1CNCC(Cn2cc(-c3cccc(NCc4cccs4)c3)nn2)C1,4.303172358,5.390512,True
cyp2d6,1,CC1COc2ccccc2CN1C(=O)c1ccnc(-n2ccnc2)c1,6.077275615,5.587988,True
cyp2d6,1,CCC(CC(=O)NCc1cncc(C(=O)OC)c1)c1ccccc1,4.995725925,4.9816504,True
cyp2d6,1,CCC(CC1CCCC1)c1nc(-c2ccncc2OC)no1,4.343583405,5.0445023,True
cyp2d6,1,CCC(CO)NCc1ccc(-c2cccc(C(F)(F)F)c2)o1,6.78738531,5.7417665,True
cyp2d6,1,CCC(c1ccncc1)N(CC)C(=O)CCCN1C(=O)c2ccccc2C1=O,4.545668955,4.044029,True
cyp2d6,1,CCC1(C)OC(=O)N(C)C1=O,4.356363405,4.2310023,True
cyp2d6,1,CCC1CC(c2nc(-c3ccc(-n4ccnc4)cc3)no2)CCO1,5.530625235,5.8187866,True
cyp2d6,1,CCCC1CN(c2nc(-c3cccnc3)nc3c2CCC3)CCN1,5.434629078,5.0801754,True
cyp2d6,1,CCCCCCCCCCCCCCCC[N+](C)(C)C,5.695594385,5.6743526,True
cyp2d6,1,CCCCCNC(=N)NN=Cc1c[nH]c2ccc(OC)cc12,5.505866475,4.5122814,True
cyp2d6,1,CCCN1CCN(C(=O)CCn2ccnc2)C(C)(C)C1=O,4.78823766,4.7167754,True
cyp2d6,1,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,4.697239085,4.693671,True
cyp2d6,1,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.27227232,5.0519524,True
cyp2d6,1,CCCOCC(=O)NC[C@H]1CCCC[C@H]1N1CCOCC1,5.81857972,4.9924865,True
cyp2d6,1,CCCc1cc(C(=O)NC[C@]23CNC[C@@]2(C(F)(F)F)C3)[nH]n1,5.201062245,5.1350994,True
cyp2d6,1,CCN(CC(=O)Nc1cccc(OC)c1)CC(C)CN1CCOCC1,5.05628105,4.7685866,True
cyp2d6,1,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,5.183893105,4.9504576,True
cyp2d6,1,CCN(Cc1c(CO)cnc(C)c1O)C(=O)c1ccc(F)c(Cl)c1,5.03008099,4.2138853,True
